	"ER+/LN+"	"ER+/LN+"	"ER+/LN+"	"ER-/LN+"	"ER-/LN+"	"ER-/LN+"	"ER-/LN+"	"ER+/LN+"	"ER+/LN+"	"ER+/LN+"	"ER+/LN-"	"ER+/LN-"	"ER-/LN-"	"ER-/LN-"	"ER-/LN-"	"ER-/LN-"	"ER+/LN-"	"ER+/LN-"	"ER+/LN-"	"ER+/LN-"	"ER+/LN+"	"ER+/LN+"	"ER-/LN-"	"ER-/LN-"	"ER +/LN+"	"ER-/LN+"	"ER-/LN-"	"ER-/LN-"	"ER-/LN+"	"ER-/LN+"	"ER+/LN-"	"ER+/LN+"	"ER+/LN+"	"ER+/LN+"	"ER+/LN+"	"ER+/LN-"	"ER+/LN-"	"ER+/LN-"	"ER+/LN-"	"ER+/LN-"	"ER-/LN+"	"ER-/LN+"	"ER-/LN+"	"ER-/LN+"	"ER-/LN-"	"ER-/LN-"	"ER-/LN-"	"ER-/LN-"	"ER-/LN-"
"J04739_at"	252	10	64	10	10	10	10	24	92	68	10	10	138	189	418	106	10	598	10	18	317	12	10	313	446	381	46	41	109	10	10	153	20	183	265	10	221	121	39	120	115	10	81	225	311	10	148	326	10
"J04760_at"	73	248	158	10	298	39	30	194	10	102	10	10	223	188	10	10	10	28	10	109	10	367	117	149	10	259	10	333	10	2385	14	10	10	356	351	259	105	96	339	25	10	223	191	10	10	130	10	343	362
"J04810_s_at"	138	111	10	59	151	154	49	26	57	17	251	10	10	40	10	10	10	10	719	163	133	10	17	10	10	10	10	10	101	439	37	43	21	59	72	45	37	10	93	10	25	10	125	10	10	30	100	24	10
"J05008_at"	16	11	10	10	10	236	36	10	10	781	471	45	20	405	151	10	10	56	487	41	94	89	17	10	10	10	10	61	10	168	67	10	10	129	45	92	162	10	10	12	29	112	115	117	10	47	10	90	10
"J05036_s_at"	157	74	175	166	204	44	10	35	31	10	10	10	10	93	167	10	31	104	1299	86	10	44	10	43	79	47	10	18	99	132	39	32	78	81	65	132	10	38	97	27	10	46	50	34	10	10	10	20	68
"J05037_at"	163	10	10	10	10	102	255	303	10	10	2139	3625	55	10	10	10	10	279	10	10	10	10	10	10	421	26	364	10	10	10	221	10	10	10	10	159	10	57	10	10	468	10	10	10	193	10	420	10	10
"J05068_at"	10	10	16000	10	10	56	28	10	2944	10	10	1991	10	10	3424	11	272	104	10	10	10	102	182	10	10	7709	10	10	236	181	73	16	10	10	88	705	78	10	10	20	10	20	30	32	54	10	10	10	37
"J05213_at"	98	113	124	21	10	91	10	10	10	15	10	1302	10	173	10	10	221	10	1158	10	10	10	10	10	104	214	237	46	46	165	10	10	10	29	10	10	10	10	10	10	10	10	10	116	82	41	10	10	10
"J05428_at"	75	67	10	77	39	16	122	32	68	50	10	718	10	10	38	16	114	585	10	47	10	618	27	171	11	68	142	115	10	10	117	131	23	103	69	135	182	10	10	10	976	10	34	46	10	225	10	10	2381
"J05459_at"	286	10	1283	64	10	10	328	49	185	10	528	10	10	18	149	10	10	363	531	106	356	268	225	10	10	10	123	10	89	737	10	10	10	13	285	94	10	297	79	34	48	10	10	10	10	42	56	10	10
"K01160_s_at"	549	50	762	738	10	13	10	10	823	10	28	507	6876	1198	170	10	10	355	10	237	10	890	10	45	10	10	10	2136	10	2489	10	448	630	326	12	17	10	467	10	73	10	501	272	315	2605	509	72	86	227
"K01911_at"	12	96	10	84	10	101	60	53	18	64	10	1653	93	48	252	10	22	301	514	99	54	153	23	149	69	10	121	78	60	10	10	10	10	138	10	25	56	66	34	28	10	88	59	115	25	78	125	10	10
"K02100_at"	24	44	10	171	207	10	10	10	99	97	307	430	17	10	10	10	133	115	10	10	429	53	125	10	32	10	98	107	102	210	10	10	47	10	88	10	104	10	10	54	116	10	10	10	56	58	67	46	10
"K02215_at"	10	45	10	10	142	27	208	94	88	150	186	1213	78	1224	10	1454	276	144	510	384	288	660	912	10	10	866	10	46	10	145	862	659	11	72	104	10	238	10	13	237	10	46	423	1404	153	10	79	10	70
"K02268_at"	124	10	65	323	10	129	10	10	181	306	10	2528	10	390	144	132	10	881	754	117	213	10	187	505	10	10	219	229	34	10	10	63	10	10	10	10	10	10	10	10	10	90	23	10	44	10	10	10	10
"K02777_s_at"	41	83	10	121	105	175	70	99	10	146	2369	2223	158	131	74	51	117	10	166	10	561	10	86	10	152	10	241	178	230	285	140	110	184	124	10	104	25	202	59	10	10	10	10	109	70	131	22	10	34
"K03183_f_at"	808	10	10	209	520	10	10	10	10	10	4018	3882	453	194	10	10	86	359	359	147	86	10	512	378	251	652	238	406	546	1122	172	495	10	10	509	359	137	10	1109	664	391	10	10	479	48	10	29	10	10
"K03189_f_at"	497	217	10	269	10	58	10	427	10	10	782	10	372	175	10	10	782	308	10	195	10	10	174	10	1021	682	218	10	732	2186	266	371	299	779	364	10	10	577	10	412	419	398	10	449	24	231	416	745	347
"K03207_f_at"	10	10	10	14	100	114	10	10	10	10	10	10	202	10	10	10	322	10	1518	64	10	10	82	10	10	258	10	10	269	10	62	10	10	10	10	410	10	10	225	10	10	10	10	10	10	10	10	10	10
"K03474_at"	423	43	10	741	10	58	202	464	187	72	307	913	10	10	10	10	753	282	10	94	10	237	24	259	442	249	499	447	606	493	10	362	260	10	353	10	190	10	143	409	10	10	52	95	463	47	37	10	10
"L01042_at"	117	56	52	57	10	83	124	90	170	10	256	482	10	10	111	113	10	98	10	100	98	27	74	10	10	163	10	42	19	84	73	16	39	79	137	99	10	10	67	25	10	56	10	88	159	81	10	139	38
"L01406_at"	161	447	579	10	194	616	414	430	373	10	10	10	112	451	60	419	126	122	10	169	10	10	10	380	372	10	148	29	10	10	107	103	10	229	85	10	50	86	111	72	163	27	13	10	315	494	139	445	10
"L02321_at"	10	86	36	10	459	204	135	119	10	10	1291	3506	192	401	265	113	291	134	297	145	10	10	10	10	277	10	366	10	105	2793	39	37	68	91	50	10	60	67	80	270	360	44	94	216	29	108	142	10	173
"L02840_at"	10	37	10	10	10	46	143	62	35	126	826	1052	71	45	10	19	10	10	251	10	294	10	11	105	10	63	10	91	50	659	10	66	10	14	26	10	122	10	30	10	45	40	83	36	10	10	10	150	188
"L02867_at"	10	10	10	41	10	75	647	42	70	15	10	10	167	20	401	161	943	534	2211	65	696	10	606	10	10	80	10	297	175	1442	10	101	374	10	10	10	102	243	10	10	10	176	10	118	494	502	10	10	10
"L02932_at"	91	44	10	154	214	104	89	258	66	103	10	10	10	55	93	110	10	10	181	92	10	27	143	101	10	13	113	10	28	269	86	10	10	10	116	78	122	10	70	64	19	32	79	45	10	88	48	292	115
"L04731_at"	10	85	299	287	10	10	1202	10	712	10	1380	1924	537	324	217	112	659	10	10	10	923	10	73	593	10	10	10	10	10	10	393	10	10	10	280	266	10	10	55	263	309	10	32	10	10	10	10	354	10
"L05624_s_at"	286	151	10	10	10	10	220	45	301	133	10	10	34	42	10	10	117	10	10	75	631	74	10	330	446	10	228	133	249	10	150	80	297	139	93	10	10	350	104	10	115	196	366	129	117	107	301	186	874
"L06175_at"	19	220	52	10	352	74	10	88	108	58	168	10	86	215	29	211	109	10	10	36	258	10	61	10	10	142	128	200	10	10	10	10	441	10	10	20	291	10	178	10	10	224	10	95	190	264	322	10	222
"L06633_at"	10	93	10	10	13	249	142	16	10	10	177	895	88	142	10	213	10	10	702	10	38	10	10	10	10	72	109	95	44	27	10	10	10	13	40	10	10	10	11	10	23	10	50	10	71	10	86	10	10
"L06845_at"	460	983	533	454	532	10	10	1230	10	10	10	10	454	62	461	213	10	10	10	10	121	545	102	389	319	93	221	167	124	10	10	660	378	331	277	296	10	561	339	790	1167	386	10	29	337	316	95	657	205
"L07592_at"	70	10	132	10	160	240	208	10	81	222	761	957	10	233	10	143	10	10	10	100	496	224	85	571	135	26	329	733	116	10	50	326	33	312	418	101	10	77	10	110	678	195	452	618	314	380	59	318	10
"L07594_at"	123	20	285	138	10	69	48	89	10	11	17	10	80	10	43	10	10	653	352	803	268	44	182	482	10	10	88	10	86	72	402	1531	100	56	138	234	305	84	100	1530	66	174	182	128	228	51	154	79	10
"L07615_at"	2266	226	2389	53	134	87	10	700	2628	866	118	10	91	440	601	10	216	3163	2476	92	8203	69	98	158	153	75	29	50	293	297	32	2244	6873	1076	118	2667	263	6873	635	72	133	98	568	938	180	10	10	831	10
"L07738_at"	109	10	10	10	10	10	10	10	10	10	2316	10	179	10	10	10	943	199	1371	10	1253	554	10	10	10	49	819	10	508	4270	198	215	232	131	10	10	10	691	195	37	114	61	10	34	10	245	10	10	131
"L08044_s_at"	5264	3018	8439	1633	353	10	311	2026	11435	4061	4942	2931	120	12	11	10	16000	15720	1378	741	16000	675	166	10	10977	77	36	78	16000	253	1050	11435	4549	11170	3103	8452	10	7471	767	5533	52	98	61	65	10	3997	115	10	16000
"L08424_at"	41	53	10	187	122	10	92	10	332	137	273	196	10	152	10	10	27	154	10	69	124	22	10	514	398	56	118	32	299	10	89	10	128	55	102	112	29	10	151	41	10	10	10	10	27	10	97	10	10
"L08485_at"	41	10	35	19	10	124	10	41	103	54	10	708	35	82	10	10	91	97	469	30	136	10	55	93	84	31	115	10	98	79	41	20	10	19	10	50	194	12	23	10	10	73	10	116	10	89	35	10	72
"L08488_at"	10	341	10	81	95	10	10	10	100	120	1180	10	10	10	88	10	35	361	130	10	393	149	333	365	10	10	289	76	87	139	10	86	197	10	10	10	10	10	79	153	341	10	74	62	10	118	213	167	10
"L10373_at"	10	161	76	10	97	10	10	49	143	228	10	1754	60	10	27	10	45	276	10	115	264	10	23	541	37	277	282	10	118	900	10	10	10	64	10	70	628	10	10	10	128	115	110	40	125	35	83	44	10
"L10386_at"	260	134	279	10	196	10	10	10	35	10	10	438	306	29	318	65	116	349	1781	189	10	240	39	10	496	725	380	152	282	10	10	10	29	272	151	10	10	377	111	202	56	110	10	241	139	15	86	185	272
"L11005_at"	10	10	497	17	256	10	216	54	10	113	1190	275	10	57	1223	32	10	10	543	10	10	10	10	10	51	10	10	10	142	20	95	79	10	334	79	10	217	55	10	201	89	81	80	10	62	10	212	131	178
"L11239_at"	151	101	133	10	223	10	317	10	10	10	10	429	139	96	10	10	32	10	10	217	10	265	320	10	142	79	28	259	360	10	10	84	38	82	111	10	10	10	10	10	162	108	10	38	146	97	10	220	10
"L11353_at"	17	94	75	10	43	107	39	10	10	31	10	10	22	10	128	48	10	10	1084	10	219	79	33	10	10	110	176	10	192	137	10	123	14	10	89	53	46	57	141	86	64	16	59	10	52	263	11	72	153
"L11372_at"	10	10	10	275	100	10	226	10	106	10	640	24	10	176	10	10	167	98	1327	82	10	10	15	189	10	129	152	42	26	184	10	95	10	10	64	10	10	29	18	10	45	13	10	124	24	113	27	155	113
"L12060_s_at"	10	10	10	148	416	181	10	139	10	45	1147	1414	274	153	10	70	380	173	10	215	351	10	79	10	449	171	411	244	113	10	81	43	10	167	218	67	10	119	50	179	149	126	10	108	57	112	143	188	172
"L12701_cds2_at"	10	28	49	10	10	10	10	65	30	10	360	2144	86	10	10	128	10	182	10	147	160	130	10	10	215	186	104	129	128	606	48	51	67	101	40	10	87	195	10	67	10	265	10	177	166	84	53	226	142
"L13042_at"	174	137	10	171	410	145	163	3180	197	150	902	150	125	56	10	179	51	280	10	150	10	10	149	313	160	190	262	160	91	10	10	199	94	112	10	10	10	10	10	1161	27	114	10	71	43	10	75	10	10
"L13197_at"	181	10	10	10	734	238	311	82	348	107	2840	1556	167	89	377	88	67	200	611	10	490	356	264	282	257	122	291	89	120	1699	275	57	53	56	17	10	31	114	10	36	161	10	10	115	55	100	10	10	28
"L13258_at"	10	92	65	10	14	155	184	10	195	36	532	1126	10	97	10	105	212	10	10	10	52	59	10	292	10	125	103	91	35	587	10	10	12	10	10	48	114	10	10	10	10	110	38	10	10	184	10	201	21
"L13266_s_at"	10	119	471	123	66	10	10	71	10	204	516	1000	241	152	390	286	205	10	748	24	201	240	10	631	15	274	10	10	243	1512	16	233	182	85	154	169	10	273	132	121	114	35	103	10	185	10	211	304	166
"L13286_at"	10	619	461	10	10	151	10	10	10	27	192	391	10	10	10	10	10	100	561	848	10	10	10	103	15	10	207	10	10	167	10	10	878	10	10	50	32	337	10	10	10	53	39	28	10	37	10	10	10
"L13391_at"	493	10	310	31	10	1634	235	10	10	491	287	379	103	844	4964	331	10	10	78	10	10	411	1362	106	35	426	34	221	52	10	1530	10	259	122	229	408	1006	10	236	10	10	221	16000	899	149	10	408	1110	310
"L13720_at"	143	860	124	10	10	549	215	25	589	1203	10	10	448	437	181	1259	10	345	10	10	10	1935	10	778	216	10	850	876	10	10	1685	10	1100	216	2049	422	10	402	10	10	10	135	841	379	1126	166	10	61	10
"L14565_at"	10	10	10	10	10	10	10	10	10	10	10	10	13	249	69	10	10	42	10	173	10	195	211	10	75	10	10	10	10	10	10	154	305	10	10	10	246	400	10	235	10	342	117	23	94	10	10	10	490
"L14848_s_at"	229	402	363	198	221	77	10	301	10	10	10	80	149	224	29	10	10	439	3307	36	567	10	10	10	100	10	10	34	97	10	334	330	196	249	127	400	232	102	243	284	297	146	12	73	444	19	31	143	70
"L14922_at"	93	134	10	57	40	121	24	173	106	62	94	524	10	10	157	10	53	10	10	122	10	22	10	67	115	67	172	36	36	100	10	10	150	193	24	10	10	162	273	102	10	131	363	181	10	53	76	76	13
"L14927_at"	321	10	10	10	10	782	10	10	532	1695	10	10	173	10	10	10	100	1403	10	2117	10	10	10	10	10	482	10	145	10	1405	10	10	10	10	10	10	10	10	10	168	10	10	10	10	10	10	10	10	10
"L15296_s_at"	10	10	10	10	10	10	10	96	10	24	222	2128	10	10	241	10	10	10	896	10	55	40	32	75	10	135	95	69	10	782	182	202	10	10	10	10	86	10	218	10	10	10	14	191	10	10	64	62	10
"L15344_at"	10	47	10	10	10	128	10	10	10	10	10	10	10	10	244	223	10	539	921	10	10	10	45	431	10	180	10	10	89	10	162	295	10	10	10	10	10	10	117	170	10	51	10	10	10	10	185	264	267
"L15388_at"	473	119	10	217	488	350	526	82	10	250	10	10	196	10	10	275	48	10	10	10	10	91	70	350	52	144	10	10	166	10	10	162	10	99	10	10	171	159	10	10	10	23	10	147	361	10	38	10	10
"L18920_f_at"	10	14	10	29	63	22	10	10	10	11	10	647	36	99	147	39	10	10	653	10	291	49	10	230	94	10	124	64	51	267	40	85	10	10	10	79	10	10	24	37	93	12	10	31	10	10	80	66	85
"L19058_at"	170	206	181	118	302	123	10	10	371	10	10	10	48	10	98	10	34	46	10	10	281	10	10	1444	75	10	459	10	38	69	10	50	10	25	97	57	70	10	10	30	129	10	18	10	10	10	86	54	87
"L20814_at"	159	16000	341	261	345	69	109	536	245	10	10	738	10	62	1628	157	118	13239	10	34	218	821	10	169	233	105	103	126	10	3054	10	2581	8394	86	151	41	873	10403	146	10	1309	10	107	116	10	56	58	82	34
"L21934_at"	10	40	60	10	29	65	57	67	67	63	66	2109	10	72	41	13	11	10	333	10	155	14	97	68	99	10	55	35	48	53	127	44	38	55	47	92	32	24	10	82	81	96	93	45	60	10	54	53	10
"L21993_at"	10	10	10	10	10	10	10	10	10	10	10	10	93	427	197	750	10	10	760	107	10	1079	202	10	10	10	10	304	336	148	10	69	10	10	10	10	934	10	91	10	49	10	21	80	25	202	199	10	10
"L22454_at"	10	10	10	151	10	10	10	10	246	52	10	10	273	124	170	118	288	251	1956	109	60	390	31	10	10	207	240	288	303	10	180	229	292	318	377	149	176	382	218	328	458	214	319	10	190	281	409	489	374
"L22524_s_at"	67	58	144	30	740	7460	136	210	1651	1905	10	10	6687	10811	406	4852	1834	878	957	251	327	131	1035	162	96	1142	1370	8675	349	91	159	44	573	152	312	377	358	137	82	17	152	4216	8667	85	1344	34	11244	10243	44
"L23808_at"	10	10	10	10	359	299	15	10	19	51	284	908	1296	121	52	2547	10	10	10	10	126	10	10	10	10	10	415	128	44	10	10	10	85	10	10	10	10	29	10	10	75	10	10	10	108	10	10	10	13
"L24203_at"	128	10	10	10	106	674	138	10	10	291	10	10	219	634	2497	336	126	739	10	10	331	204	1936	370	10	1774	1489	968	10	10	1634	10	86	10	240	156	1103	290	10	10	248	1160	1516	968	900	10	169	2818	10
"L25798_at"	189	127	36	319	10	97	189	184	48	117	80	1278	10	35	324	121	242	69	10	163	342	157	158	363	74	10	36	12	32	493	10	10	70	10	10	43	22	10	199	10	132	18	10	205	139	363	36	10	113
"L26339_at"	10	128	665	133	91	139	443	652	290	213	10	10	461	489	536	10	10	10	10	10	10	410	10	324	554	10	10	238	10	10	326	402	10	10	10	10	221	10	10	251	326	205	807	243	249	94	354	10	527
"L26494_at"	21	120	69	253	10	14	10	71	10	204	10	2815	10	309	167	113	96	273	10	240	15	208	10	10	10	82	248	79	26	3850	10	10	10	10	211	10	166	10	30	55	10	60	27	112	10	151	30	10	267
"L27080_at"	10	104	633	10	298	10	10	10	303	10	10	10	385	207	10	387	10	555	10	19	294	10	10	10	10	10	244	346	613	10	10	575	56	380	510	10	10	414	368	171	10	10	10	133	10	54	70	10	136
"L27479_at"	393	10	287	199	342	19	227	10	10	71	1218	10	158	10	1231	125	856	1019	68	943	468	250	392	1028	10	846	169	197	188	10	10	1066	1054	286	427	10	785	896	10	229	568	10	303	268	268	10	10	10	329
"L27559_s_at"	394	36	714	10	10	60	52	608	10	74	57	118	61	10	128	19	10	166	582	99	30	249	10	10	95	10	504	73	1850	112	10	393	51	121	79	317	10	36	216	2387	155	10	36	28	327	98	21	10	10
"L27586_at"	23	166	262	350	541	230	168	127	32	16	10	2599	10	21	10	172	10	126	616	88	218	223	95	229	133	139	167	106	17	279	112	119	77	25	62	174	204	56	10	22	65	10	117	10	58	249	25	229	73
"L27624_s_at"	10	10	10	10	10	32	33	10	10	491	10	10	65	10	10	10	400	132	10	10	10	10	10	10	10	10	247	10	10	10	10	10	10	10	3513	2278	10	10	10	10	10	10	10	10	10	50	10	10	10
"L28175_at"	10	10	10	10	10	173	10	75	59	10	1847	1886	10	10	10	239	411	202	391	10	147	120	10	10	10	10	67	10	30	730	10	10	10	10	10	10	10	92	10	10	10	10	10	10	10	116	15	10	10
"L29433_at"	155	87	97	142	678	160	237	10	359	92	1056	10	10	127	98	159	10	77	360	13	10	80	63	139	168	10	165	287	146	10	10	174	178	16	10	10	10	195	30	58	10	142	10	22	84	77	112	33	34
"L31573_at"	44	182	10	10	10	10	10	10	10	10	10	10	10	10	10	10	249	10	10	332	121	10	10	198	159	10	10	10	10	889	10	539	223	310	130	104	10	262	73	567	118	10	10	86	10	187	91	10	300
"L32961_at"	97	97	10	59	492	10	174	10	142	10	470	942	163	172	77	55	551	54	332	179	284	50	20	38	10	267	228	81	270	871	94	216	166	10	87	81	123	10	95	10	133	10	74	69	10	65	10	10	10
"L33243_at"	10	467	35	331	10	166	10	441	10	10	10	10	769	529	912	12	657	637	1904	269	161	664	318	10	10	792	477	276	382	738	328	992	588	431	177	534	572	395	527	1160	74	10	906	676	960	1324	144	374	13
"L33404_at"	10	10	10	10	10	10	10	10	10	10	10	10	10	10	4456	10	10	10	10	10	10	10	59	64	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	197	362	10	10	10	10	10	10
"L34155_at"	86	474	1777	10	10	44	23	10	57	245	177	322	597	10	139	10	599	630	307	10	650	10	124	10	84	10	246	10	15	68	10	10	427	99	160	948	10	281	752	10	10	10	77	111	64	65	18	10	178
"L34355_at"	10	10	10	10	69	15	10	10	10	63	10	10	10	192	10	21	207	10	10	10	10	10	36	10	137	112	119	37	10	10	153	10	10	71	242	10	280	50	10	482	10	212	45	299	243	10	23	229	294
"L35594_at"	74	420	10	10	75	236	10	10	231	300	10	10	10	28	10	753	10	44	1066	25	10	10	10	124	60	10	56	106	10	10	100	10	42	130	182	10	86	10	10	10	1116	10	49	52	171	10	273	84	62
"L35854_at"	10	10	93	10	16	10	10	10	64	92	291	2066	107	62	50	30	76	331	10	36	250	183	110	325	34	166	311	158	135	10	10	68	17	142	134	10	10	160	101	35	424	132	10	87	114	175	10	10	38
"L36463_at"	468	310	165	323	661	309	610	441	193	124	1236	289	162	216	10	227	299	308	10	10	737	141	400	502	440	702	499	150	273	3043	10	74	10	10	18	10	210	10	165	10	61	10	237	255	202	252	252	10	323
"L36847_at"	10	264	26	10	404	10	74	147	97	113	29	10	10	184	176	16	155	10	10	24	10	101	92	443	162	89	91	30	52	12	65	10	63	86	95	34	25	37	36	10	13	10	54	10	10	38	142	10	10
"L36870_at"	124	289	106	10	10	10	10	35	115	10	10	10	39	89	95	10	99	111	10	136	35	10	10	10	162	10	10	10	10	10	24	110	295	368	10	10	121	262	11	131	515	130	238	71	105	10	158	221	55
"L36983_at"	151	25	10	21	10	101	10	66	29	112	10	10	588	221	766	437	428	196	1060	147	10	977	346	349	10	62	363	873	731	10	10	911	769	361	581	310	442	595	460	860	251	676	567	652	924	400	316	10	10
"L37199_at"	10	10	10	10	45	10	114	10	10	10	185	10	96	32	10	172	10	192	10	10	337	10	10	103	10	151	10	207	92	450	139	98	10	152	19	10	10	214	10	10	227	39	10	111	36	79	57	390	308
"L37868_s_at"	10	10	10	224	1071	93	10	10	10	10	10	1135	345	447	89	10	10	10	3382	10	10	10	10	339	10	10	85	10	10	10	102	244	10	10	10	10	10	84	10	149	10	10	45	10	10	10	10	129	40
"L37882_at"	81	142	10	10	33	10	154	348	263	107	10	2115	53	10	10	52	57	11	685	103	515	341	180	10	157	10	129	168	239	10	90	363	220	167	126	10	10	108	10	10	86	168	10	403	73	10	133	10	10
"L38517_at"	10	10	10	10	10	82	10	10	10	10	2404	1405	10	236	10	21	126	10	10	10	407	10	10	10	10	248	130	94	10	10	13	10	10	10	10	10	10	10	10	10	421	10	34	10	10	10	10	10	59
"L38593_s_at"	131	59	109	526	174	338	10	83	10	30	10	10	292	325	10	10	254	313	1299	52	10	10	10	10	10	10	78	326	18	10	76	12	10	97	181	100	141	47	48	215	127	133	91	10	137	38	98	10	132
"L38929_at"	10	91	10	136	211	10	45	77	42	54	42	745	81	10	53	75	250	264	10	47	262	24	60	281	10	39	100	58	100	442	10	10	70	33	46	122	91	10	10	46	55	10	10	10	10	36	10	10	32
"L38969_at"	233	236	310	295	10	145	301	170	113	267	2133	4397	132	73	10	446	302	209	10	619	218	679	10	10	10	1037	99	329	381	10	10	771	747	382	315	591	812	816	197	116	10	1120	1188	674	563	451	10	10	10
"L40371_at"	74	101	176	10	123	10	10	36	10	68	229	637	29	81	10	10	10	37	939	88	53	10	10	31	10	97	10	10	12	10	10	10	25	178	10	99	10	44	19	10	10	132	121	147	10	10	10	65	326
"L40386_s_at"	25	56	10	10	10	10	10	66	47	190	353	10	489	170	303	10	205	154	10	123	21	10	265	176	10	123	143	10	396	261	125	10	83	133	21	10	348	17	83	101	10	286	187	161	10	216	10	10	158
"L40387_at"	263	350	269	236	228	73	10	593	180	117	10	10	10	10	187	10	613	65	1220	126	10	383	499	13	10	10	22	424	350	811	107	138	392	24	119	10	10	256	142	142	10	139	144	259	199	260	347	10	234
"L40407_at"	49	143	10	77	186	35	10	10	10	34	10	10	157	144	10	129	260	10	10	10	194	10	179	10	311	40	90	179	611	159	40	10	114	14	89	51	10	57	28	154	136	109	10	83	10	148	10	127	107
"L40933_at"	83	10	10	10	54	15	10	54	10	10	10	10	35	236	10	131	356	325	10	10	59	10	10	10	10	441	10	10	10	1814	10	10	10	10	10	10	37	90	10	10	95	10	10	10	10	129	10	10	10
"L40992_at"	308	64	20	10	33	10	10	10	28	10	10	909	233	202	10	10	177	234	285	130	206	84	22	142	92	10	35	88	103	1144	10	10	42	10	10	10	10	10	29	122	10	30	10	10	76	149	10	10	10
"L41066_at"	198	111	175	28	10	87	10	408	101	10	10	997	56	108	10	10	10	10	10	1200	446	160	74	111	163	203	350	42	55	10	19	285	615	317	175	201	49	698	10	573	219	136	64	10	152	57	63	52	10
"L41143_at"	572	945	10	10	152	10	399	10	187	176	10	10	79	93	875	203	1068	567	1090	1016	10	216	987	1369	304	10	949	374	843	10	10	818	477	411	998	10	343	835	735	240	278	557	10	2060	731	1227	10	10	514
"L41162_at"	10	10	10	10	10	872	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	2545	10	10	10	4206	10	1062	10	10	10	10	574	10
"L41390_at"	10	48	96	10	10	84	10	42	90	10	10	294	157	21	212	10	152	10	593	15	10	68	64	109	10	10	146	53	73	187	10	68	87	47	30	14	19	30	72	69	42	21	41	159	61	10	32	49	81
"L41919_rna1_at"	90	205	25	10	10	10	407	172	12	191	613	515	227	10	662	103	10	388	892	53	110	703	508	10	10	205	10	10	309	10	10	10	10	186	604	44	42	28	10	10	112	199	50	10	399	156	152	354	10
"L42176_at"	10	76	194	10	87	200	21	178	178	140	253	10	445	129	61	123	58	17	775	723	10	10	335	10	45	10	10	10	113	10	547	205	27	1338	503	395	239	35	57	387	10	165	123	64	186	77	188	132	106
"L42452_at"	60	74	10	10	10	149	10	62	120	159	649	1073	57	197	216	15	10	109	10	213	209	10	462	10	29	594	150	10	127	10	10	54	38	50	10	32	120	132	10	16	10	21	10	447	56	72	95	10	10
"L43338_at"	10	115	10	10	361	10	10	46	10	10	114	1259	19	114	13	138	10	238	10	10	60	139	10	10	10	12	213	14	95	137	10	64	64	10	10	102	150	42	20	90	140	116	58	33	81	100	110	176	247
"L44140_cds4_s_at"	331	128	111	10	357	24	10	10	10	10	724	3161	109	255	10	61	119	498	72	58	10	65	10	10	1388	107	10	10	88	10	10	125	10	227	171	291	103	489	10	406	147	102	10	145	131	10	190	10	156
"L47125_s_at"	99	10	10	10	367	10	10	10	10	123	10	10	10	10	10	10	10	34	10	10	378	241	10	251	364	336	10	10	27	10	74	295	10	32	164	118	126	10	478	861	130	65	10	276	130	10	81	10	10
"L47726_at"	98	45	93	90	104	153	20	46	49	10	115	1509	88	95	72	160	31	71	396	93	21	10	10	125	248	82	10	56	10	122	184	10	10	87	79	125	143	15	61	10	101	28	36	10	29	10	142	83	15
"L48516_at"	10	10	779	518	10	10	64	10	187	89	331	10	10	94	10	29	10	153	498	41	19	10	176	10	10	32	621	89	136	10	10	293	15	59	118	166	74	10	881	431	171	44	10	129	56	30	105	234	10
"L48692_at"	130	99	10	10	49	102	67	116	52	10	314	10	145	181	122	49	10	10	444	74	135	22	128	244	10	150	10	10	13	135	94	10	64	45	29	28	120	10	10	47	10	191	35	10	22	97	10	70	110
"L49054_at"	71	10	110	207	10	79	10	132	71	10	199	10	248	118	112	10	40	10	528	153	10	17	186	10	41	81	15	62	10	300	121	249	166	160	137	135	400	209	196	222	263	771	159	127	18	111	394	286	10
"L76465_at"	114	16	60	10	178	30	33	10	107	38	560	954	48	45	41	78	34	54	10	12	83	126	42	10	78	64	31	102	55	158	105	10	15	28	10	133	151	19	10	35	43	37	11	166	25	10	10	92	10
"L76687_at"	10	10	10	10	251	10	10	10	10	10	10	1387	10	10	10	10	425	85	982	10	21	10	62	92	10	10	10	81	10	10	10	119	10	10	10	10	346	10	97	10	10	10	10	10	423	10	68	10	32
"L77701_at"	1114	1696	885	10	10	10	30	257	10	261	10	10	36	10	10	10	274	10	10	308	10	10	10	10	646	10	61	10	566	10	10	10	59	574	10	10	10	10	385	10	17	10	10	49	95	319	25	27	267
"M10014_cds1_at"	73	10	10	90	107	10	110	79	10	10	10	465	100	98	109	10	32	85	10	10	10	33	10	404	10	38	71	151	20	393	10	26	10	28	29	44	169	88	10	46	71	56	50	23	10	45	10	170	1109
"M11186_at"	10	10	10	10	254	10	10	10	10	294	2036	1711	10	10	376	10	664	321	349	10	548	381	17	433	10	10	10	10	10	2374	337	10	10	119	391	161	122	450	85	41	524	60	98	87	10	10	10	10	17
