	"ALL_1"	"ALL_2"	"ALL_3"	"ALL_4"	"ALL_5"	"ALL_6"	"ALL_7"	"ALL_8"	"ALL_9"	"ALL_10"	"ALL_11"	"ALL_12"	"ALL_13"	"ALL_14"	"ALL_15"	"ALL_16"	"ALL_17"	"ALL_18"	"ALL_19"	"ALL_20"	"ALL_21"	"ALL_22"	"ALL_23"	"ALL_24"	"MLL__1"	"MLL__2"	"MLL__3"	"MLL__4"	"MLL__5"	"MLL__6"	"MLL__7"	"MLL__8"	"MLL_9"	"MLL_10"	"MLL_11"	"MLL_12"	"MLL_13"	"MLL_14"	"MLL_15"	"MLL_16"	"MLL_17"	"MLL_18"	"MLL_19"	"MLL_20"	"AML_1"	"AML_2"	"AML_3"	"AML_4"	"AML_5"	"AML_6"	"AML_7"	"AML_8"	"AML_9"	"AML_10"	"AML_11"	"AML_12"	"AML_13"	"AML_14"	"AML_15"	"AML_16"	"AML_17"	"AML_18"	"AML_19"	"AML_20"	"AML_21"	"AML_22"	"AML_23"	"AML_24"	"AML_25"	"AML_26"	"AML_27"	"AML_28"
"35893_s_at"	10	10	70	10	21	10	10	24	10	174	10	10	26	10	10	10	10	10	10	13	10	98	10	10	21	10	14	10	10	10	10	65	20	114	10	10	10	10	10	10	640	10	78	84	210	174	97	221	10	24	779	105	129	201	26	278	10	76	10	10	10	10	198	707	47	27	82	205	179	213	10	159
"35904_at"	87.2	10	83	10	80	66	54	10	90	24	231	43	13	282	10	16	10	10	95	35	22	10	205	44	81	10	10	63	10	93	199	97	38	164	10	60	147	41	61	102	22	98	16	10	143	10	223	10	10	10	61	10	47	232	21	207	10	10	327	264	305	89	227	10	109	104	132	49	10	10	284	467
"35909_at"	10	10	10	10	10	10	10	118	31	10	10	10	10	10	10	10	244	10	10	10	10	10	10	10	27	145	10	10	65	10	10	38	10	150	240	10	10	207	10	10	10	10	49	236	10	228	10	10	10	108	19	10	528	10	10	164	10	1120	10	10	614	10	1861	1132	10	1816	735	10	10	10	10	19
"35917_at"	1289.9	491	996	1653	530	748	1497	151	4673	942	10	1268	665	1142	4192	905	10	602	565	10	145	4551	399	10	1047	1383	1512	1699	3723	1152	922	1007	2870	2217	10	562	1213	2335	788	3918	10	4585	1125	1244	10	10	10	10	224	49	10	10	10	77	10	10	10	10	10	10	10	1182	952	10	2024	10	10	219	135	10	10	10
"35918_at"	19.1	33	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	41	10	10	10	10	18	91	10	10	22	488	321	10	10	10	10	10	10	10	10	10	10	10	10	10	10	14	2193	10	203	1552	10	512	10	1542	426	361	1053	107	10	10	10	10	10	10	715	10	10	10	10	2470	57	1954	2349	2935
"35919_at"	10	10	10	10	121	10	31	26	85	42	754	358	368	81	10	10	10	121	152	43	352	16	60	10	51	56	10	10	568	27	944	46	10	118	20	143	10	10	430	10	44	211	98	27	63	150	10	10	10	10	10	74	10	19	12	995	178	10	10	65	10	10	19	10	10	143	403	52	45	134	40	10
"35920_at"	10	10	10	10	10	148	10	424	10	10	10	10	10	10	10	10	10	10	10	10	1082	10	10	10	10	10	39	10	10	10	10	10	31	10	171	10	10	280	10	10	10	10	10	10	412	123	10	10	10	10	10	10	2080	215	10	241	10	10	1660	10	10	10	113	10	397	40	10	2721	10	10	10	10
"35923_at"	10	10	10	10	10	268	10	962	10	952	10	10	10	814	271	353	794	375	543	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	76	808	973	484	10	10	1250	10	929	10	10	10	10	604	10	10	640	546	604	10	1055	10	10	1022	1493	1517	977	10	1318	1256	563	61	10	10	10	10	171	1085
"35934_at"	467.5	1270	473	10	1299	82	317	138	67	102	39	29	1498	10	57	19	292	102	23	1126	329	303	462	486	2455	1759	5670	601	68	2411	1394	265	22	317	150	602	480	14	1511	1821	3530	89	187	80	4757	1269	2023	137	3582	2942	1375	10	6117	5195	2560	181	4657	797	1367	2560	3524	3327	984	894	62	1577	951	2392	1279	552	4679	733
"35936_g_at"	556.3	27	151	356	2241	454	1047	677	1891	407	434	843	1297	297	857	549	142	385	402	436	137	2721	275	10	680	633	10	1298	10	272	168	160	787	10	10	361	10	10	10	1246	766	1081	1413	607	963	115	10	175	10	10	73	36	188	1346	10	10	10	10	613	10	10	10	261	10	131	10	758	277	10	10	835	10
"35938_at"	10	10	56	10	10	10	10	59	10	45	10	10	10	18	10	10	10	13	10	10	10	10	38	10	247	21	184	10	10	141	102	54	66	524	111	18	46	20	15	61	649	10	100	340	101	10	34	84	29	14	293	108	253	700	101	46	10	10	18	108	10	424	208	107	33	10	38	10	134	10	172	51
"35940_at"	1527.1	344	10	2298	312	905	4194	6430	41	820	796	1908	657	3868	10	10	51	10	11462	5003	10	10	2293	248	10	375	241	10	10	10	10	46	10	107	50	145	10	10	49	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	87	10	10	28	244	10	44	32	10	10	10	10	11601
"35948_at"	116	10	10	135	177	10	10	35	10	355	10	10	10	10	10	10	10	48	83	10	168	10	197	103	272	10	146	10	10	10	10	353	88	49	10	10	10	10	10	466	10	142	141	149	10	10	10	10	10	10	10	10	15	324	193	157	381	27	10	193	10	10	10	10	214	10	10	10	14	10	10	108
"35949_at"	55.8	10	10	282	203	115	108	52	135	309	45	433	10	298	10	316	10	394	357	108	32	71	79	18	19	10	10	70	10	10	55	17	10	625	10	128	10	98	210	10	62	3209	112	61	34	23	10	10	10	10	10	57	120	39	49	10	10	10	10	57	10	10	15	10	80	95	10	10	10	35	137	10
"35951_at"	381	281	10	41	12	10	292	10	20	23	722	170	10	1204	10	10	42	47	10	10	103	241	733	219	97	195	125	10	10	10	71	86	216	54	10	10	10	10	74	91	10	10	10	10	222	31	10	10	10	10	10	67	105	10	10	135	68	10	10	88	10	10	10	10	13	10	10	10	10	164	10	10
"35958_at"	342.8	392	427	10	613	549	268	10	10	175	582	10	10	194	10	10	174	143	118	304	10	10	182	147	790	449	782	248	33	679	1155	42	10	349	42	228	10	10	815	789	828	230	269	335	10	205	413	10	10	60	37	147	26	933	600	484	265	10	17	10	128	10	260	137	154	344	887	88	113	284	696	10
"35961_at"	1064.7	2562	2489	3241	1925	2326	2848	2557	9768	1712	2802	819	2286	4525	3901	1665	1045	1725	1577	2182	2592	6690	1577	222	1135	190	707	796	3093	839	612	2451	2253	1778	70	2271	2605	7047	1019	2226	496	2221	1542	2641	244	43	261	61	76	106	65	297	10	241	268	172	160	117	10	144	58	574	127	64	10	10	679	184	213	111	10	10
"35965_at"	96.3	10	10	10	10	10	10	10	10	180	10	10	28	10	10	10	10	10	10	10	298	10	10	10	10	750	10	104	259	10	10	1811	10753	16000	10	10	10	15885	10	10	541	31	2603	10	10	10	250	10	10	10	10	29	10	10	10	719	10	407	73	10	10	10	10	357	393	10	10	10	6152	10	10	10
"35971_at"	10	197	10	10	222	84	90	10	10	10	10	10	10	96	43	10	17	10	39	135	79	97	163	10	10	10	137	27	10	10	10	58	10	160	10	255	10	10	10	268	307	201	147	10	10	206	145	93	114	91	60	10	24	10	10	10	14	10	10	94	10	141	311	165	45	10	174	10	10	10	115	42
"36213_at"	24	969	58	215	10	1754	1471	982	1226	313	10	428	10	4162	1134	720	10	983	930	10	154	10	51	326	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
"36219_at"	10	149	10	10	153	10	89	10	10	10	238	75	60	10	90	45	10	10	10	187	96	64	10	107	10	217	288	10	10	130	215	77	25	421	209	10	591	10	361	10	1478	10	10	10	179	383	166	378	345	264	972	114	472	465	10	678	103	394	363	230	283	868	870	498	10	290	361	268	10	10	825	97
"36229_at"	10	10	10	1317	10	10	10	10	10	1214	571	1120	1457	10	10	10	10	10	1782	723	10	158	318	10	726	3287	2832	807	793	1368	4638	10	1312	3347	10	10	1046	10	2162	1766	11385	2773	1439	1523	35	2948	4690	969	10	10	3647	331	10	10	10	1439	10	1689	10	10	316	1012	1480	5181	150	720	3198	10	3746	10	1068	10
"36236_at"	10	431	10	10	245	132	115	94	10	10	59	10	19	76	288	10	168	12	10	43	10	10	132	71	120	19	98	185	11	10	76	170	114	10	10	179	183	10	10	10	10	19	10	10	49	101	10	75	10	291	147	24	80	134	346	10	169	10	10	172	10	10	160	10	10	244	10	46	18	10	10	10
"36238_at"	10	161	283	1107	10	1806	226	10	965	10	886	1922	989	10	10	10	10	1473	1934	1250	411	13	10	10	483	63	1236	10	707	354	10	10	1269	10	209	10	10	2141	10	10	10	821	10	1268	327	650	10	10	1296	952	10	665	112	10	10	93	10	10	10	10	1308	10	10	10	675	682	10	1770	11	10	264	1443
"36239_at"	10358	10999	2006	3542	2363	8181	8134	5714	2208	2008	9155	3198	2578	6084	2451	2992	2713	5150	2125	2220	1798	2705	7600	4509	1032	87	1065	636	520	885	265	600	580	223	423	1141	1587	2171	299	631	28	603	1033	2194	13	194	205	10	183	10	123	31	76	10	1025	44	10	85	10	30	10	10	45	10	53	10	96	10	151	10	79	10
"36243_at"	590.1	315	424	2805	637	597	637	469	202	902	642	670	1838	10	10	1066	200	937	1829	278	136	738	673	967	544	432	458	375	201	293	536	393	235	1067	285	382	359	214	33	245	835	428	790	196	18	71	10	10	10	10	10	10	10	10	10	228	153	10	10	10	10	382	452	326	46	42	234	10	649	38	10	10
"36248_at"	10	566	10	10	873	359	122	460	10	406	630	480	469	1326	10	223	10	154	471	565	10	10	703	290	10	72	517	10	253	10	638	10	10	771	10	399	10	10	417	564	10	471	147	779	10	10	10	10	10	96	10	10	80	10	10	10	10	10	10	10	10	581	10	10	10	10	106	290	200	242	10	10
"36253_at"	111.4	326	10	10	10	58	108	10	59	10	139	10	10	57	10	54	10	129	11	41	69	158	56	19	102	3250	10	10	10	124	37	444	172	42	89	10	28	10	10	10	10	10	1338	111	10	10	85	10	10	10	10	10	123	390	10	10	10	36	10	1959	10	10	10	10	10	10	10	10	415	844	10	10
"36260_at"	295.2	485	350	191	717	224	473	258	542	487	653	357	629	405	10	587	10	257	799	662	308	556	519	294	759	356	423	426	10	168	228	10	137	326	207	88	10	200	446	106	74	248	193	724	59	216	354	10	10	10	79	403	10	766	10	10	10	10	10	10	10	293	183	10	225	225	496	10	254	10	10	10
"36261_at"	1149.7	103	843	152	778	82	436	121	680	337	914	242	531	44	10	306	10	103	750	10	573	391	675	133	513	391	138	737	483	1008	689	615	314	946	202	770	10	505	746	879	99	446	243	546	196	744	540	10	318	10	10	10	10	157	10	301	10	51	369	10	140	634	10	30	10	204	209	187	234	1045	10	252
"36264_at"	10	10	10	10	290	10	10	10	10	10	10	10	10	10	10	20	1098	10	10	10	10	10	10	10	1534	933	10	10	187	895	10	10	659	10	75	10	793	10	646	686	10	10	10	10	10	10	2537	986	206	10	10	10	402	10	10	10	10	10	10	10	10	932	10	10	10	10	10	10	10	10	10	10
"36267_at"	10	83	10	10	10	10	499	132	10	10	10	10	253	10	10	10	10	10	497	580	10	10	10	10	546	181	10	611	10	86	10	10	10	10	10	10	10	10	146	891	1591	10	464	10	384	10	314	10	10	10	289	10	83	926	79	10	805	10	1272	92	381	10	429	10	10	73	1801	447	135	10	10	10
"36272_r_at"	12.9	10	10	10	10	10	10	13	41	68	10	10	10	10	10	10	10	10	10	28	10	10	10	20	10	10	60	10	10	10	10	10	10	10	10	10	10	15	10	10	10	10	10	10	662	54	326	516	10	172	10	184	432	410	740	192	10	129	10	53	10	10	922	10	40	31	10	301	37	696	427	790
"36280_at"	127	693	10	54	89	131	152	690	123	238	10	573	566	573	10	720	150	198	94	1079	114	1850	179	220	340	10	10	70	97	10	72	164	120	508	36	47	229	372	290	393	87	422	1909	10	464	10	9156	46	1627	25	57	149	283	57	10	10	55	70	933	155	10	10	10	63	119	124	238	10	346	10	53	10
"36281_at"	10	20	43	177	1436	505	359	1058	202	278	443	440	1027	191	223	10	715	10	511	129	44	58	231	36	345	169	10	130	76	165	10	212	10	187	59	667	10	10	602	101	629	1027	681	897	1398	142	651	10	137	10	174	312	10	15	519	10	866	414	10	10	10	10	40	10	29	632	760	714	10	362	10	10
"36304_at"	338.7	10	10	10	632	10	448	10	386	482	10	10	369	875	10	10	504	10	398	982	10	728	650	10	10	10	10	10	78	10	559	387	10	10	10	503	10	10	665	932	10	491	570	10	652	406	725	726	246	10	10	16	624	10	10	885	10	837	10	1025	10	407	10	10	10	740	10	685	95	718	1144	627
"36306_at"	10	478	94	10	10	448	10	10	141	175	53	267	10	683	10	10	441	266	309	467	467	18	78	10	278	30	516	54	374	10	281	10	10	320	10	186	10	330	300	10	10	64	467	549	10	202	75	150	45	61	10	47	54	190	256	10	255	43	1059	446	299	11	99	725	10	10	158	10	10	328	10	357
"36312_at"	165.9	10	10	242	365	10	10	10	10	202	10	612	59	10	226	169	508	10	221	10	10	246	10	10	521	154	702	121	3274	10	710	849	428	1646	360	234	266	543	1589	604	2970	824	1520	1328	47	962	1069	460	10	64	588	1652	141	10	10	701	10	396	10	206	10	300	708	626	752	349	496	463	323	45	48	68
"36314_at"	10	92	121	655	46	350	378	424	296	952	323	319	707	851	69	335	143	634	10	186	10	824	10	215	79	10	10	10	983	10	10	10	10	10	39	10	10	334	10	37	10	12	490	91	184	10	406	10	1433	11	10	427	10	10	10	10	10	10	146	10	10	10	10	10	216	10	10	10	10	10	10	53
"36317_at"	456.6	10	96	10	175	145	101	358	77	24	453	10	89	10	10	10	10	41	234	86	299	180	318	117	45	85	234	101	42	10	319	56	10	239	10	283	10	76	184	529	865	453	375	46	13	420	863	256	347	475	279	60	256	282	281	715	10	561	10	10	10	10	301	251	10	56	201	74	94	10	347	157
"36694_at"	198.5	150	10	10	10	176	88	199	338	41	82	16	10	227	10	100	63	62	53	190	20	952	72	226	102	10	21	10	10	10	17	10	141	93	10	10	10	10	46	10	46	10	10	10	29	60	55	10	10	10	102	75	91	13	10	10	10	129	10	10	10	10	10	10	12	142	10	10	10	163	10	27
"36709_at"	10	10	10	10	10	10	457	889	296	682	10	10	1057	10	10	226	10	10	239	470	543	1443	10	10	10	501	132	896	10	10	10	1214	402	3354	10	1063	355	432	10	567	3519	339	8780	10	799	3052	4194	159	251	381	769	10	441	337	709	2401	850	2739	406	875	1653	568	3961	1574	2481	3357	1257	1234	1489	10	1129	491
"36711_at"	1136.9	35	3956	7359	119	158	225	196	86	79	691	2933	566	107	10	157	2586	356	256	138	2076	891	39	388	90	1330	10	414	3255	10	10	674	101	1440	207	10	11	4150	787	163	436	3502	1103	1200	15143	1251	3376	274	1466	10392	1138	1836	1997	109	10	4385	13036	1507	972	1689	15645	7544	4871	2501	2297	6456	2881	2113	2555	4548	261	12742
"36728_at"	73.1	305	10	10	306	10	258	10	230	10	267	138	252	458	661	10	10	150	249	330	1380	364	278	12	147	10	301	302	10	143	315	114	195	521	10	10	10	10	252	10	10	10	217	280	249	837	306	889	513	10	175	151	247	583	229	10	1107	1408	10	216	10	10	10	10	10	10	962	122	752	1813	203	628
"36732_at"	10	121	10	10	10	10	10	249	10	10	10	10	10	580	10	386	10	153	136	10	10	465	10	10	10	10	10	10	10	10	10	122	1020	75	10	10	10	10	10	10	877	77	10	10	10	174	10	10	10	10	10	1628	432	871	10	10	10	10	288	10	10	10	10	10	1858	10	10	10	286	10	10	10
"36735_f_at"	10	108	17	10	1880	40	152	16	42	10	315	10	295	329	330	880	375	10	10	10	10	505	10	10	10	222	10	146	10	10	10	10	31	10	19	121	10	528	10	231	160	274	349	10	10	10	3174	44	320	10	84	296	10	10	10	298	10	10	69	10	74	10	137	235	103	10	274	10	15	10	10	26
"36736_f_at"	1621.3	287	357	1534	373	638	354	681	107	10	1034	219	336	373	233	1569	1008	429	1784	333	725	728	584	28	1066	133	1175	53	11	356	394	237	265	908	800	553	217	140	577	101	164	188	15	684	358	39	77	1312	10	10	307	201	78	176	19	1197	10	221	10	223	10	411	242	10	133	61	10	10	10	10	808	478
"36738_at"	20.3	10	10	84	10	51	10	10	10	90	10	155	259	10	10	25	10	10	130	32	10	10	10	127	54	30	10	104	115	52	19	41	119	49	10	23	126	162	359	85	10	203	213	131	82	51	161	144	122	10	10	100	10	352	309	176	82	10	10	161	10	199	43	171	11	10	10	10	10	11	10	296
"36749_at"	10	22	10	10	10	100	42	16	10	724	10	10	38	47	10	10	10	10	32	144	87	49	41	10	10	10	101	10	281	10	191	10	10	10	10	22	233	10	10	10	10	10	10	10	6309	10	10	1398	175	91	134	10	4023	4296	10	3636	10	10	2287	198	424	89	4307	24	365	647	4124	1092	75	901	1471	824
"36750_at"	1890.2	219	318	30	193	112	46	133	94	80	103	48	62	109	10	10	10	10	77	10	110	75	102	110	10	84	22	10	44	75	10	96	109	211	53	153	10	86	93	111	50	87	10	21	126	10	10	53	95	220	222	10	115	206	10	20	179	75	10	10	172	46	10	10	60	273	119	10	196	14	105	10
"36753_at"	180.5	11	10	1078	10	1043	33	256	551	1041	10	11	462	218	778	636	75	1157	1105	10	278	2605	72	183	938	1419	1046	2505	2590	147	294	3255	2086	4643	1353	1595	2839	2340	1424	1502	10237	3013	8946	1967	10	3436	782	1667	10	10	1724	3036	10	19	3023	1303	10	4036	166	600	2613	82	1252	2825	2330	1466	529	10	3012	1067	1025	10
"36757_at"	4128.9	502	54	127	10	608	672	47	11	10	446	1033	18	290	10	148	327	1402	674	134	603	10	289	1366	10	303	285	10	10	10	573	727	95	358	188	10	43	55	10	10	10	10	10	1099	10	10	10	10	10	10	734	746	512	347	10	154	134	385	96	46	10	159	207	10	10	10	10	10	10	10	60	493
"36761_at"	10	10	10	263	10	250	182	10	571	770	10	298	10	256	10	175	186	145	299	10	10	525	199	348	303	146	103	10	528	10	10	82	333	615	10	96	10	476	10	501	425	10	10	10	239	257	519	273	10	39	333	262	174	545	185	10	369	319	10	251	10	499	10	10	143	331	10	217	221	1675	920	376
"36762_at"	19.5	10	10	10	137	240	37	126	10	10	111	10	294	10	10	10	10	64	10	10	10	10	10	87	35	10	10	42	10	42	10	10	10	117	10	10	10	10	141	10	10	10	10	67	203	11	391	10	10	155	226	82	53	10	10	75	113	10	130	10	288	198	351	116	207	175	28	148	95	71	166	10
"36764_at"	186.5	358	144	10	148	196	295	117	107	129	463	10	10	10	10	19	10	312	135	262	249	108	283	44	23	170	459	48	234	10	10	57	10	13	10	79	213	279	135	548	727	10	52	477	10	10	15	10	10	10	196	196	308	520	127	320	657	193	27	10	50	10	1798	10	482	158	119	10	518	71	194	25
"36770_at"	10	10	10	30	344	80	73	10	10	10	170	10	491	368	10	12	60	10	197	67	10	77	114	10	10	126	127	98	72	99	240	10	157	10	10	10	10	78	10	125	10	10	10	10	302	203	74	10	270	22	130	10	10	344	146	24	10	248	10	10	10	32	10	320	10	39	10	10	191	275	158	10
"36771_at"	913.3	1387	420	10	1704	1385	1152	60	10	245	10	10	1087	226	25	10	667	29	413	1241	10	10	2638	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	182	574	10	302	10	10	10	531	169	207	186	10	10	10	251	205	297	726	1002	10	380	10	10	81	10	10	554	10	10	10	10	10	160
"36777_at"	42.4	62	198	10	516	345	167	368	109	10	200	185	304	251	117	363	885	23	320	484	241	534	184	66	2888	808	2078	6463	3789	1316	522	2680	1206	3518	2484	2453	4095	498	2725	4507	115	2749	1178	1304	27	75	4171	10	446	144	10	39	163	264	1172	75	54	394	59	10	10	192	98	10	275	469	10	176	200	216	105	10
"36781_at"	10	149	73	81	10	71	94	830	661	10	302	98	762	64	338	32	59	10	10	10	174	991	336	10	111	350	200	1058	643	20	646	666	201	637	142	1546	983	253	396	361	35	599	2018	10	73	108	389	4142	63	152	2588	3443	718	29	10	2500	91	2290	1486	785	1150	955	4651	9288	16000	3762	579	10	9448	719	2580	34
"36787_at"	360.8	10	10	10	542	10	10	727	10	10	10	10	1609	10	195	10	10	306	661	1001	1187	10	10	50	10	10	785	1195	559	632	718	806	10	1352	10	1243	92	820	2010	503	126	682	10	10	801	824	436	10	149	480	720	10	1214	10	1266	944	10	10	819	1388	102	165	14	10	443	2302	843	2100	10	967	611	295
"36789_f_at"	151.5	468	56	660	10	49	288	10	34	10	10	105	1610	70	10	10	202	10	604	227	13	644	10	10	384	140	324	365	353	13	10	989	1308	2567	10	10	274	330	180	353	1350	2253	1413	796	683	373	255	10	10	10	513	367	10	10	384	100	619	473	10	10	517	10	358	10	376	515	719	10	818	32	385	10
"36791_g_at"	144.2	96	10	10	297	162	133	756	131	422	268	260	277	139	10	53	10	74	113	380	550	10	131	31	71	10	180	10	10	10	10	21	10	379	103	193	10	72	171	117	564	39	248	197	663	393	279	10	10	10	260	128	949	449	223	466	626	172	221	180	10	10	453	10	203	1274	188	1112	111	111	54	10
"36794_at"	401.2	435	396	159	415	381	393	699	246	337	787	501	652	1052	778	491	307	10	618	571	556	355	502	269	37	126	742	10	10	10	687	10	10	10	524	424	268	10	10	10	10	555	10	10	179	10	730	530	689	573	501	53	586	644	808	598	1015	10	564	394	337	222	10	10	10	248	654	691	186	469	408	406
"36796_at"	32.6	10	10	10	10	10	10	10	10	10	27	10	10	10	10	10	10	10	34	10	10	108	124	10	434	231	750	10	10	333	468	57	64	10	10	649	10	10	241	480	10	10	84	10	60	253	66	10	10	10	14	10	10	645	10	10	10	10	73	259	10	236	240	10	10	10	37	10	249	290	346	10
"36809_at"	10	10	10	43	10	10	10	132	35	151	1025	543	1002	32	10	145	10	105	83	213	2740	20	10	10	1411	37	35	40	2323	10	881	27	10	215	170	10	523	67	245	381	1890	261	78	10	10	405	8557	103	10	10	10	154	2543	83	10	15945	3599	10	1609	314	10	347	628	26	156	437	1877	259	10	79	852	91
"37056_at"	158	53	10	10	496	55	173	74	10	61	151	14	10	10	10	237	10	86	172	211	282	11	64	10	106	84	258	90	10	10	345	255	100	533	106	144	30	31	86	79	447	162	113	432	66	10	10	10	117	10	10	292	75	322	10	51	56	10	10	113	10	118	233	10	10	35	289	31	10	10	140	10
"37066_at"	10	10	10	10	10	10	10	311	10	10	549	216	564	10	10	10	10	10	10	181	1078	10	10	10	773	10	10	10	10	10	6241	10	10	10	10	10	10	10	10	10	4573	10	10	10	5444	423	10	16000	10	41	4871	183	9428	10	10	16000	10	713	10	2185	3208	4489	3531	10	79	10	943	10	10	4616	16000	4973
"37069_at"	10	10	10	10	10	10	10	84	209	97	10	214	190	10	10	10	10	17	164	10	71	10	10	23	74	10	237	106	10	10	77	77	192	10	10	10	10	10	351	17	104	22	62	85	10	198	42	10	62	10	10	10	191	10	231	10	305	10	517	163	409	10	103	10	10	306	10	303	187	10	10	10
"37074_at"	27	10	10	10	14	30	10	209	10	10	10	45	235	10	10	88	10	10	10	10	18	26	10	10	10	10	29	109	10	10	10	51	39	15	87	255	176	10	10	10	226	10	323	10	554	146	206	349	10	169	229	34	339	321	162	112	256	134	163	219	212	140	177	262	10	237	10	136	10	10	10	234
"37078_at"	263.2	1648	3263	1661	70	1745	850	2738	1912	479	8217	1087	4488	2055	4414	472	10	339	466	545	460	6526	1775	676	222	10	160	80	499	21	118	35	779	486	77	590	82	2727	175	267	10	771	3185	94	1190	39	7169	579	4174	10	129	732	186	10	10	18	10	115	1245	10	10	10	245	10	499	10	797	46	11	26	10	10
"37084_at"	92.6	141	81	10	10	257	15	153	10	318	10	10	378	10	609	10	235	10	10	10	202	74	330	82	10	10	10	166	273	111	153	107	10	188	10	139	119	10	10	181	10	448	230	10	201	10	10	225	177	211	10	10	167	98	308	10	10	10	592	10	284	204	10	10	26	10	183	598	10	10	10	10
"37088_at"	111.1	10	10	10	10	35	137	150	10	10	10	10	10	269	10	47	971	389	10	58	243	135	10	10	10	98	10	10	212	10	10	10	347	1201	10	10	10	50	481	655	100	312	10	10	371	20	263	10	10	10	349	141	444	195	180	572	501	104	10	242	1663	143	470	464	10	793	123	691	872	10	621	10
"37096_at"	10	10	10	10	547	10	54	229	10	10	1428	10	3624	10	10	10	10	10	10	518	3915	10	10	70	1484	10	187	175	10	10	16000	10	73	546	30	10	135	10	1047	10	16000	314	10	233	16000	16000	71	16000	223	10	16000	10	16000	10	10	16000	10	3412	10	2001	16000	10477	1625	150	87	3459	16000	2438	5400	6582	16000	7746
"37102_at"	11.6	10	10	459	10	10	10	10	10	34	10	10	10	10	204	10	360	42	10	10	10	562	10	589	10	10	297	20	368	10	10	472	103	26	70	135	10	10	10	18	495	148	137	10	154	245	10	261	412	305	453	10	464	875	598	833	95	252	382	10	38	12	942	892	10	10	395	329	681	10	10	10
"37103_at"	50.6	93	10	84	224	36	59	16	10	10	10	86	168	14	144	88	42	10	128	177	10	12	39	16	10	10	168	98	10	67	62	10	10	191	54	160	96	10	395	32	81	40	202	181	113	82	148	98	112	10	121	10	49	113	10	29	10	499	93	122	218	10	193	200	10	12	10	10	212	25	198	129
"37112_at"	882.9	1702	595	1305	1374	2631	1974	1168	902	1118	2009	1118	4835	2246	891	1089	55	723	729	494	1088	1869	3342	261	74	36	237	587	107	178	348	261	106	7772	133	651	367	834	66	202	6430	2402	2895	138	66	55	861	131	596	283	10	192	228	1811	10	102	13	10	328	10	10	95	246	135	469	10	10	10	751	162	196	41
"37114_at"	284.5	198	30	88	10	497	285	10	229	10	280	179	10	1114	10	1288	546	1864	387	10	1091	166	76	369	852	1105	513	10	773	379	382	656	435	773	174	10	287	119	538	342	10	607	10	2859	10	137	76	10	10	10	10	10	10	10	1667	10	223	10	10	10	10	10	10	89	224	10	10	103	249	10	10	10
"37117_at"	103.6	37	121	10	10	10	12	10	10	10	221	10	10	10	237	10	88	10	10	10	10	87	63	10	26	10	10	10	10	10	10	10	10	189	142	10	10	52	224	234	10	10	291	35	75	230	10	219	148	107	10	128	217	10	184	190	264	314	10	213	10	10	10	10	112	333	601	266	10	10	36	325
"37123_at"	10	38	10	10	197	10	254	152	123	10	101	10	10	106	37	54	90	15	10	10	10	247	10	10	340	180	208	87	10	205	102	19	179	10	10	65	94	10	10	13	183	174	10	247	10	10	10	50	73	10	1622	333	10	10	10	10	10	10	10	10	10	10	10	161	280	10	10	10	10	10	10	10
"37128_at"	45.7	98	54	19	12	151	92	19	10	10	28	27	56	30	169	10	101	10	13	45	47	10	10	10	10	10	53	10	97	72	10	10	10	10	75	135	103	10	10	18	227	33	10	10	10	10	186	10	68	148	10	36	183	10	73	10	111	67	10	11	307	50	303	223	194	178	265	25	266	70	171	134
"37129_at"	227.3	398	40	10	354	49	236	143	166	10	10	10	10	150	75	10	10	55	326	308	18	200	10	80	180	65	117	157	10	59	10	141	19	10	10	351	371	10	10	511	235	60	244	395	27	357	267	109	437	130	124	174	200	428	353	352	257	429	10	309	10	10	429	494	164	58	436	231	341	289	502	242
"37134_f_at"	374.2	489	1422	338	159	139	507	291	372	10	487	611	319	10	10	101	10	10	295	10	10	2362	10	10	679	1612	454	553	10	172	1488	10	1597	10	10	10	145	243	408	1511	10	598	10	76	10	296	465	252	286	45	10	10	64	653	10	592	811	10	10	10	10	778	10	10	150	10	32	776	1216	355	10	10
"37135_f_at"	10	10	10	10	10	10	47	10	10	10	79	215	10	128	93	139	10	10	178	10	10	155	138	10	93	79	170	10	10	10	10	10	10	15	10	10	10	206	10	10	10	10	10	240	10	10	535	10	10	10	10	69	170	208	83	351	429	10	10	10	10	10	290	749	114	323	338	711	641	395	295	10
"37136_at"	390	24	167	154	10	10	130	10	10	10	10	10	10	10	10	10	10	115	45	10	10	10	951	79	10	10	367	563	87	10	332	10	68	101	10	54	10	74	73	305	940	10	10	10	10	76	10	10	10	10	10	10	10	10	10	10	10	195	10	10	115	289	220	10	10	10	953	10	1605	10	181	10
