	"Brain_MD_12"	"Brain_MD_61"	"Brain_MD_15"	"Brain_MD_57"	"Brain_MD_33"	"Brain_MD_64"	"Brain_MD_17"	"Brain_MD_62"	"Brain_MD_63"	"Brain_MD_32"	"Brain_MGlio_1"	"Brain_MGlio_2"	"Brain_MGlio_3"	"Brain_MGlio_4"	"Brain_MGlio_5"	"Brain_MGlio_6"	"Brain_MGlio_7"	"Brain_MGlio_8"	"Brain_MGlio_9"	"Brain_MGlio_10"	"Brain_Rhab_1"	"Brain_Rhab_2"	"Brain_Rhab_3"	"Brain_Rhab_4"	"Brain_Rhab_5"	"Brain_Rhab_6"	"Brain_Rhab_7"	"Brain_Rhab_8"	"Brain_Rhab_9"	"Brain_Rhab_10"	"Brain_Ncer_1"	"Brain_Ncer_2"	"Brain_Ncer_3"	"Brain_Ncer_4"	"Brain_PNET_1"	"Brain_PNET_2"	"Brain_PNET_3"	"Brain_PNET_4"	"Brain_PNET_5"	"Brain_PNET_6"	"Brain_PNET_7"	"Brain_PNET_8"
"L41913_at"	10	61	10	10	10	10	13	38	14	93	10	76	10	10	27	10	69	10	168	108	10	44	16	10	10	10	10	13	10	10	10	273	96	10	22	64	221	10	10	10	10	75
"L41919_rna1_at"	10	580	86	256	10	212	10	10	144	10	10	10	10	11	10	10	10	64	10	10	10	713	2053	10	60	900	711	67	224	10	42	10	772	10	10	1904	923	365	10	10	10	358
"L42176_at"	198	396	10	440	10	498	218	24	51	179	10	10	10	10	10	10	10	107	10	10	835	342	503	94	39	239	211	190	641	10	10	10	10	10	10	45	10	239	10	10	210	81
"L42450_at"	60	47	97	16	159	10	157	127	112	41	74	10	10	10	128	109	27	113	10	10	15	130	10	414	50	83	20	244	10	10	10	10	10	10	62	66	490	106	217	10	10	10
"L42452_at"	10	10	10	10	164	10	10	10	10	10	10	10	10	10	10	200	10	107	10	10	22	63	10	10	10	10	60	144	10	10	10	10	10	10	10	10	538	204	158	10	10	10
"L43821_at"	95	10	10	10	10	10	10	10	10	10	10	71	10	224	10	240	537	2121	10	10	14	10	10	702	10	10	10	763	37	10	10	10	10	10	10	225	365	21	54	10	10	10
"L48211_at"	10	10	10	10	10	23	10	10	10	10	10	10	10	10	10	10	87	10	10	10	10	34	10	10	10	10	10	10	10	10	230	10	16	10	156	10	798	10	10	10	10	55
"L48516_at"	10	10	10	10	10	10	10	10	10	209	10	87	91	94	10	10	153	22	10	32	10	10	10	10	10	208	10	10	10	10	10	345	349	10	10	10	596	84	10	69	215	10
"L77559_at"	10	10	10	10	118	10	10	10	10	10	10	10	10	118	10	10	10	10	10	10	10	10	13	10	10	10	10	10	10	10	412	10	801	10	10	10	10	51	10	10	10	10
"L77563_at"	10	10	66	12	10	99	16	662	35	10	10	10	10	10	10	10	10	10	10	10	10	165	55	10	10	10	14	173	122	10	169	10	10	10	26	113	10	326	10	10	10	10
"L77864_at"	155	979	1163	1623	10	718	256	4225	128	10	10	10	1357	1712	401	1635	150	10	3196	10	562	251	10	10	35	191	10	422	458	10	7649	7717	7210	5879	10	10	10	10	10	10	10	10
"L78833_cds2_at"	10	10	10	10	10	10	10	499	10	10	1547	2840	10	986	733	10	10	10	1340	587	133	120	10	309	53	10	10	53	110	10	1026	10	413	443	10	24	10	190	203	10	128	10
"M11437_cds1_at"	22	10	10	49	440	10	74	10	10	10	10	92	10	10	10	10	10	10	10	18	10	10	10	10	10	91	14	10	10	10	10	385	10	10	10	10	10	10	10	10	11	10
"M11437_cds2_at"	48	10	62	10	10	10	85	10	10	10	10	10	10	10	10	91	101	46	10	408	10	271	10	10	10	45	124	32	10	10	455	10	545	10	26	51	28	10	10	66	87	10
"M11722_at"	200	49	10	73	10	44	113	627	184	10	288	10	10	10	897	10	553	10	43	10	439	336	309	609	31	174	439	457	175	10	10	10	532	10	10	229	10	294	168	10	29	530
"M11973_cds1_at"	10	10	29	89	84	95	34	358	10	305	218	43	375	253	213	10	164	170	10	103	107	46	160	88	29	10	10	23	62	10	236	980	647	292	10	10	10	264	10	10	10	10
"M12759_at"	10	54	10	36	10	10	10	10	10	10	148	92	10	35	10	10	119	10	211	10	10	10	10	98	10	57	1002	10	10	10	182	10	10	10	10	1290	76	46	10	74	332	268
"M12886_at"	52	10	220	10	383	20	10	10	457	10	10	10	10	10	10	178	10	10	320	488	10	10	100	10	143	10	10	101	10	10	1068	948	330	1188	1935	1788	10	596	10	141	10	10
"M13241_at"	10	2993	4784	3217	2559	4199	116	811	13795	4163	1725	213	144	1346	10	957	10	36	2680	587	5530	474	35	520	87	112	70	1197	114	396	2634	988	554	170	8990	51	10	168	876	1277	466	999
"M13699_at"	55	193	57	107	45	94	10	10	282	10	10	513	240	76	42	10	10	10	10	10	10	27	10	10	10	222	10	10	10	60	72	10	10	10	10	607	48	326	10	10	99	195
"M14091_at"	16	10	10	10	10	97	10	31	88	139	10	10	279	147	10	87	10	28	238	131	10	152	16	10	10	10	10	10	10	10	10	876	266	1018	85	10	865	10	10	10	390	136
"M14123_xpt3_at"	31	10	10	14	10	10	13	202	10	10	10	10	284	10	10	10	38	10	434	103	41	29	62	95	10	10	84	17	78	10	10	225	150	338	10	10	10	10	34	10	10	189
"M14159_cds2_at"	10	10	10	10	253	10	10	10	10	10	10	1365	842	10	10	487	10	10	689	535	10	107	10	10	10	10	10	10	10	10	10	1326	487	10	10	10	10	10	10	10	10	10
"M14338_at"	10	10	10	97	10	156	30	10	128	10	45	10	10	10	750	415	461	315	27	89	743	1190	75	935	270	821	1197	736	504	431	10	10	10	10	10	10	230	234	10	10	291	215
"M14539_at"	10	106	112	66	10	10	10	237	10	10	10	10	10	10	10	40	281	3483	54	89	10	408	233	10	606	9483	632	38	743	511	10	10	10	10	10	4023	1048	40	54	69	10	10
"M14636_at"	66	10	10	10	68	16	10	31	40	44	10	163	62	53	230	171	375	836	43	10	220	1286	1206	749	946	359	693	282	628	245	139	10	10	10	10	10	375	294	143	10	105	885
"M14660_at"	10	10	10	93	43	56	10	92	10	10	10	10	77	11	10	400	67	10	303	10	406	30	10	739	375	19	84	71	29	10	10	10	35	65	10	10	10	152	321	10	10	10
"M14949_at"	151	224	10	113	162	213	10	63	16	274	10	114	1265	702	10	790	10	1763	10	10	1754	3969	186	5072	2226	1767	1515	1047	1808	260	36	10	10	10	546	872	10	885	787	10	10	10
"M15517_cds5_at"	9211	21	10	10	10	7494	10	10	14	10	10	278	10	11	10	10	177	10	10	10	10	10	10	10	10	10	10	10	10	10	242	819	827	45	10	10	10	10	490	419	16000	681
"M16937_at"	95	11	112	37	10	61	131	209	126	10	205	10	10	88	10	10	99	287	43	10	10	452	389	285	1054	332	235	132	354	10	10	10	10	36	10	10	10	141	10	96	10	148
"M16967_at"	10	61	10	10	13	10	10	10	10	10	10	54	10	10	631	10	10	10	10	10	10	10	10	10	10	19	10	10	10	10	10	10	10	10	10	10	10	10	10	59	10	990
"M16973_at"	10	181	10	111	10	10	10	10	10	98	10	10	10	10	10	10	10	10	10	10	10	10	10	15	10	419	10	10	158	10	613	586	339	10	10	10	10	10	381	389	1178	10
"M17316_at"	10	224	10	10	10	10	50	10	10	10	405	10	399	10	47	396	72	10	482	728	10	10	10	10	10	10	10	10	10	10	10	10	839	10	10	124	10	10	158	10	110	131
"M17466_at"	130	10	10	10	10	10	10	10	10	10	10	120	24	35	42	10	10	20	10	10	10	10	25	10	198	158	10	10	101	30	10	731	10	10	313	268	134	681	356	10	396	10
"M18079_at"	10	10	97	71	10	80	10	134	17	10	10	10	10	10	10	10	18	10	10	10	10	99	10	180	23	47	82	21	41	10	303	10	10	10	174	109	10	10	10	54	10	10
"M19481_at"	10	30	10	10	495	10	10	10	10	25	10	10	10	10	79	101	13	10	10	10	274	95	10	10	819	10	10	30	568	10	10	474	10	10	170	10	10	65	10	10	134	10
"M19684_at"	10	10	10	10	10	31	10	10	10	10	241	508	101	360	10	10	10	42	16	526	10	10	10	10	10	76	10	10	10	10	72	10	10	10	10	10	10	10	10	10	10	125
"M19720_rna2_at"	78	878	193	1020	406	3758	10	10	423	382	10	27	10	10	10	10	10	10	10	10	89	11	131	10	10	10	10	53	200	10	10	10	10	10	10	10	10	10	440	10	10	10
"M20218_at"	10	10	71	212	424	30	10	396	10	10	10	10	149	159	138	196	10	82	10	10	39	10	108	10	49	10	127	10	10	170	10	80	10	10	10	14	10	10	376	349	10	10
"M21005_at"	220	33	33	10	463	10	58	10	391	10	10	147	327	76	354	10	209	242	168	10	283	192	206	1804	316	309	10	49	92	10	352	10	10	22	44	169	10	10	307	10	10	279
"M21186_at"	1186	10	10	10	10	10	10	10	10	10	10	245	10	389	136	80	976	1303	10	10	1231	198	10	159	426	2443	580	524	1661	10	163	10	10	10	10	7504	1990	10	609	10	10	338
"M21188_at"	141	10	10	10	10	10	10	10	74	10	10	180	10	10	27	40	81	10	124	112	173	150	39	185	268	10	106	13	58	10	10	10	10	10	10	37	394	201	44	109	466	14
"M21389_at"	10	259	10	185	10	10	54	10	14	10	288	10	10	10	324	10	506	10	173	10	99	10	119	74	10	79	188	10	87	195	10	313	10	604	10	250	942	10	495	10	583	705
"M21624_at"	85	75	2044	335	410	2255	12	1127	49	250	144	87	10	242	151	10	2752	4585	173	122	72	137	161	148	132	64	174	86	27	125	309	787	157	978	85	272	480	163	10	181	665	10
"M21984_at"	10	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1077	10	10	10	2103	1414	10	10	10	321	10	10	10	10	10	10	10	10	10	10	40
"M22324_at"	10	70	119	134	472	10	10	10	51	10	10	10	688	10	10	338	10	1040	10	10	10	314	25	10	10	1679	89	148	107	30	1323	10	1407	624	10	10	10	10	10	12	10	10
"M22430_at"	71	457	127	66	10	159	171	10	142	75	408	305	341	926	128	10	270	10	439	648	10	85	10	65	10	16000	357	69	11	10	10	10	1189	1028	62	10	1759	610	10	10	361	201
"M22489_at"	12	10	10	10	10	10	30	10	10	10	1014	10	10	1021	10	10	10	10	992	1339	10	108	10	10	10	10	10	474	13	10	10	10	10	10	10	51	10	32	10	10	10	128
"M22638_at"	10	10	31	24	102	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	467	10	10	64	160	777	10	10	10	10	88	10	310	10	10	10	67
"M23533_at"	10	10	10	10	187	10	10	241	10	10	10	10	394	10	10	10	10	348	10	10	318	10	10	10	142	10	10	10	10	10	10	10	12	985	10	10	10	10	10	10	10	10
"M23668_at"	10	10	10	10	253	198	10	10	10	169	10	404	495	76	230	10	10	10	10	10	10	129	10	34	411	10	140	17	50	10	10	377	25	670	10	10	10	144	10	76	58	10
"M24364_at"	10	10	10	59	248	10	10	145	44	39	47	147	33	10	10	10	40	12	103	188	21	54	10	89	10	10	10	48	10	10	103	538	115	315	10	20	153	10	10	10	10	55
"M25280_at"	10	224	305	85	406	282	98	386	104	10	94	10013	2700	10	1291	10	528	10	412	10	264	210	10	1259	293	431	318	157	142	10	10	10	10	10	273	301	528	321	10	119	23	1078
"M25629_at"	10	66	16	10	10	22	10	10	10	10	10	27	52	10	10	10	76	10	10	10	41	58	46	33	60	10	10	10	10	10	449	10	10	10	134	10	10	10	54	111	10	40
"M25897_at"	78	10	11	28	10	10	10	10	112	10	10	10	10	10	10	10	20	10	10	10	10	30	10	761	71	10	10	163	10	10	48	10	10	10	10	10	317	10	10	22	10	166
"M26061_at"	103	108	10	75	248	270	10	127	92	179	216	10	10	10	188	258	139	10	10	10	10	58	25	10	139	10	44	117	75	571	10	940	10	10	31	55	48	152	222	10	5502	259
"M26679_at"	10	10	73	10	748	10	10	10	115	291	10	10	10	10	44	14	10	12	10	10	14	84	199	10	48	10	10	10	10	10	10	56	10	213	10	10	19	10	10	10	10	10
"M27160_at"	22	10	132	10	91	10	192	141	92	425	74	10	10	141	10	222	396	228	10	10	10	10	234	217	10	287	155	142	901	10	188	667	153	1047	10	244	10	10	10	10	10	206
"M27826_at"	68	184	68	242	10	370	10	754	10	396	820	10	10	23	10	10	10	10	10	423	1165	1959	10	13618	10	10	3823	407	3547	10	10	5964	4004	5031	10	37	10	215	10	707	163	142
"M28219_at"	10	10	27	71	10	83	181	893	10	10	10	10	10	10	10	21	10	10	10	10	10	10	10	10	10	10	10	174	86	10	10	10	10	210	197	10	10	10	10	10	239	10
"M28249_at"	10	42	139	10	10	10	10	230	69	10	10	185	67	10	10	10	76	62	10	75	12	10	84	10	10	10	116	63	469	25	127	434	10	10	10	90	221	531	74	10	23	64
"M28826_at"	10	10	10	10	10	10	10	10	10	10	10	49	10	10	10	10	24	10	54	164	10	10	10	77	10	10	10	10	10	10	10	10	10	10	10	10	211	10	10	10	612	72
"M29540_at"	34	61	10	53	10	39	10	230	10	10	103	10	10	10	10	10	76	10	10	10	10	25	10	56	10	86	10	15	65	10	18	586	201	10	35	130	153	10	10	10	10	10
"M29580_at"	10	56	47	10	10	10	743	10	21	10	49	10	10	10	10	101	10	10	10	10	10	130	10	10	10	10	10	144	10	10	10	10	10	10	10	10	10	114	10	10	10	10
"M30773_at"	12	10	44	18	127	10	100	24	10	11	10	10	10	10	10	10	128	10	43	10	10	51	10	52	10	10	32	10	10	10	10	160	10	10	10	12	250	79	10	66	10	10
"M31651_at"	92	106	117	107	10	150	111	113	112	101	243	420	231	259	10	10	10	133	347	376	10	10	10	10	10	10	32	17	10	10	400	819	570	259	10	10	10	10	10	34	10	160
"M32053_at"	50	106	18	25	10	148	34	411	142	94	10	223	10	354	2007	10670	10	5736	10	10	10	16000	917	3731	16000	16000	16000	1128	4477	8684	254	10	246	660	10	8037	16000	1365	1684	64	361	12222
"M32334_at"	21	10	10	10	10	10	26	10	10	10	10	174	10	135	10	10	391	10	227	10	10	40	10	10	10	438	65	10	157	10	236	10	10	10	89	306	403	163	113	10	10	10
"M32598_at"	15	236	20	10	10	10	17	134	10	10	10	10	10	10	10	10	78	10	10	10	10	105	10	103	10	67	42	10	89	10	710	10	445	49	161	41	596	231	10	228	805	104
"M33478_at"	91	21	11	14	10	10	393	10	23	10	36	27	10	10	10	10	58	10	43	10	10	36	13	10	10	10	10	15	10	10	10	32	10	45	10	10	10	59	24	312	2952	10
"M33653_at"	10	10	119	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	16	10	10	35	10	10	40	10	710	442	1458	768	10	10	211	10	188	10	10	10
"M33882_at"	405	10	10	10	10	10	10	10	10	10	266	10	10	10	1509	1303	2288	702	10	10	3679	178	10	1411	1116	10	450	655	10	45	206	10	10	10	10	246	10	10	639	10	10	641
"M34057_at"	92	103	12	152	10	132	161	10	23	10	10	10	336	10	10	10	308	2793	10	10	14059	4974	289	271	10	582	495	536	2666	45	10	10	10	10	797	10	211	2577	10	10	10	10
"M34065_at"	124	311	178	42	10	153	10	634	19	10	10	10	10	94	10	10	10	10	244	10	29	373	23	178	226	10	79	10	92	15	10	10	10	10	116	10	144	100	346	332	10	10
"M34309_at"	105	35	176	58	191	31	75	77	23	194	31	437	10	94	4815	1343	283	111	195	253	99	227	191	94	80	59	48	44	119	10	370	1326	285	10	10	266	730	76	252	263	309	3179
"M35252_at"	10	10	10	10	79	10	30	21	10	41	27	76	279	10	47	10	13	10	10	206	10	10	10	16	4861	14	10	10	10	10	54	514	10	226	10	37	10	10	10	24	10	26
"M36205_at"	10	28	38	10	10	10	10	10	10	10	10	781	10	10	10	10	10	10	10	84	10	12	65	10	10	10	10	10	10	10	10	241	1298	10	10	10	10	10	10	10	10	10
"M36803_at"	135	10	10	10	10	10	10	10	10	216	297	10	10	684	307	149	18	200	10	18	299	326	10	10	10	10	46	96	13	10	10	10	10	10	10	66	67	408	178	10	10	10
"M37825_at"	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1997	10	10	10	10	10	10	10	10	10	10	10	134	43	192	10	10	10	297	81
"M54927_at"	875	181	1707	31	20	98	10	10	401	78	1450	16000	7398	318	7845	7097	1458	22	5702	3976	1475	10	75	29	31	81	25	36	50	70	12901	11471	7277	3553	174	26	432	10	1580	215	16000	2063
"M54951_at"	34	10	71	10	10	32	79	10	10	10	10	131	10	10	10	10	10	10	298	10	10	76	10	10	75	10	56	10	10	10	10	10	10	10	179	514	10	10	10	10	700	367
"M55267_at"	112	10	10	10	184	10	10	10	10	10	10	284	10	10	10	10	10	34	10	10	59	149	10	122	10	74	93	10	39	10	10	10	10	10	10	10	10	10	10	10	320	58
"M55542_at"	188	835	10	10	36	52	32	31	10	10	10	10	351	10	69	258	452	419	10	10	234	36	163	92	341	340	247	109	271	10	10	10	10	10	67	370	663	70	24	10	116	40
"M55543_at"	10	10	10	51	10	10	10	10	14	10	78	92	10	10	10	10	105	32	10	18	10	10	10	10	10	256	61	10	92	10	72	10	10	10	129	448	192	57	10	10	75	134
"M55621_at"	983	10	10	100	10	262	10	10	10	10	10	10	10	10	10	10	10	453	10	10	641	1014	359	10	135	692	251	186	1009	305	570	10	10	10	10	173	317	10	10	10	1207	329
"M57293_at"	43	10	47	10	25	76	10	4196	23	84	128	191	10	41	22	10	27	10	10	136	31	10	10	10	10	10	11	10	10	10	10	10	221	243	10	10	125	81	10	258	542	10
"M57710_at"	453	240	1132	407	333	138	127	35	933	279	10	1283	380	507	3018	1689	9873	9081	124	47	8801	1206	531	2123	1980	6769	431	16000	9270	295	1839	1463	2212	1602	71	4077	5125	640	2278	389	227	12665
"M57730_at"	37	10	10	10	10	10	10	10	10	10	10	10	10	10	89	324	10	10	10	10	78	448	105	10	10	158	10	788	197	50	261	10	10	10	10	140	10	10	10	10	10	10
"M57732_at"	474	10	10	10	10	10	10	1329	10	10	10	10	10	10	10	10	58	182	368	10	152	10	381	520	10	10	10	338	64	571	109	755	10	10	10	10	10	10	138	24	10	10
"M58297_at"	49	10	106	14	10	196	10	198	10	10	10	10	10	10	10	109	10	10	10	10	55	519	10	10	10	10	10	507	146	1133	10	10	10	1100	10	10	10	29	10	10	10	10
"M58583_at"	363	1310	2069	2783	10	787	1998	552	480	566	491	579	182	566	10	10	303	32	542	399	185	233	230	433	10	110	200	46	117	165	5209	3553	10399	9662	179	241	586	561	188	488	992	183
"M58597_at"	10	368	42	150	10	253	320	10	177	10	10	125	115	35	10	10	10	10	233	441	10	10	10	10	10	371	24	10	22	185	54	763	10	10	10	10	10	10	10	119	35	10
"M59488_at"	62	14	616	125	404	87	182	251	10	204	1745	3846	1877	2208	2735	2844	4456	48	3879	1767	10	10	10	10	10	10	21	163	16	35	3667	10	3452	5445	10	10	2692	122	10	34	665	2547
"M59499_at"	56	99	10	75	38	41	145	85	32	51	10	65	96	135	109	298	297	224	108	10	126	2436	93	9210	246	457	209	2741	312	170	42	40	60	10	98	95	413	89	24	230	10	250
"M59916_at"	100	10	10	10	10	10	10	10	10	10	10	305	10	224	10	10	375	461	10	314	10	10	10	584	157	10	10	184	94	10	1026	10	10	10	10	386	10	10	10	10	10	10
"M59941_at"	10	18	10	10	52	10	10	184	10	10	63	688	255	10	10	10	10	10	10	333	10	10	10	10	10	292	10	10	10	10	10	225	609	121	10	10	10	79	10	10	10	10
"M59964_at"	10	10	64	10	10	173	10	10	10	22	10	10	10	82	10	10	10	10	10	10	10	10	10	5838	10	10	10	10	10	10	10	10	10	10	10	10	182	130	14	10	10	10
"M60047_at"	10	10	10	10	230	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	25	67	10	67	35	10	10	10	10	40	10	56	541	10	10	10	10	10	128	106	10	10
"M60052_at"	10	10	10	155	93	40	10	10	10	87	401	10	10	590	332	10	243	356	222	10	125	1006	10	10	439	10	1374	10	342	10	10	10	137	10	10	10	10	10	118	10	10	10
"M60298_at"	121	10	10	10	10	10	10	163	10	111	38	81	10	47	225	61	123	18	146	10	143	46	29	80	51	10	10	10	10	10	10	10	10	10	76	10	10	10	302	10	10	10
"M60299_at"	80	10	171	85	463	10	79	10	110	981	10	10	10	10	10	29	10	10	10	10	10	65	365	10	10	10	10	10	72	10	10	10	10	10	80	10	10	10	10	10	10	157
"M60314_at"	10	63	79	16	10	319	10	10	10	413	10	10	10	10	10	229	10	10	10	10	10	131	12	10	10	10	10	10	10	10	10	10	10	10	76	10	10	10	10	10	10	10
"M60331_at"	13	10	10	10	289	10	10	67	10	10	10	10	10	10	10	10	10	10	16	10	10	55	10	10	10	122	10	24	10	200	10	48	10	617	10	10	144	10	113	10	10	10
"M60626_at"	56	158	77	10	31	73	10	10	60	10	10	10	168	10	10	10	141	10	157	18	10	10	104	10	10	10	10	10	57	115	121	10	22	10	10	10	10	10	10	10	10	10
"M60721_at"	10060	10	10	10	10	10	41	10	10	10	10	10	10	10	10	83	10	10	10	10	244	326	63	10	167	447	10	115	50	10	10	10	10	10	10	285	10	10	148	10	10	10
"M60752_at"	10	10	104	10	47	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1512	420	55	479	10	195	10	104	10	10	10	10	10	10	10	10	10	10	10	10	10
"M61733_at"	44	92	143	85	269	174	100	435	44	10	10	98	38	11	10	10	10	10	141	10	10	20	10	42	10	10	10	105	15	10	10	418	285	10	10	181	10	68	351	158	110	10
"M61906_at"	95	309	112	137	22	289	159	765	53	10	1226	305	10	1682	10	10	387	10	705	291	30	99	239	47	10	148	38	30	79	10	10	10	96	10	152	55	163	2394	10	158	1213	215
"M62505_at"	166	10	10	10	10	10	10	10	10	10	10	600	10	10	10	211	10	283	10	10	10	317	10	10	10	16	10	11	128	10	10	10	10	10	10	390	96	10	138	10	10	10
"M62810_at"	89	10	112	37	10	10	10	10	87	10	10	10	10	10	10	10	10	10	10	10	135	130	92	312	23	10	21	82	107	10	10	10	10	10	10	10	10	160	113	10	10	10
"M62843_at"	10	1964	876	3264	367	2132	10	10	416	1661	561	10	139	655	10	782	10	10	157	10	10	10	133	145	10	10	10	10	10	10	1730	10	10	325	1146	10	10	10	683	3654	10	10
"M62958_at"	48	200	49	10	10	116	182	606	10	10	103	759	10	159	10	14	10	10	406	314	10	10	10	10	10	186	147	10	10	165	30	305	387	584	10	215	163	187	10	320	4650	10
"M63589_at"	10	10	53	15	10	13	10	698	167	10	10	87	168	200	91	10	51	10	10	10	33	59	10	10	42	91	73	10	80	85	619	10	28	10	206	111	10	95	193	96	10	10
"M63623_at"	88	33	421	36	34	98	86	301	62	131	1292	1709	2262	1694	2426	757	627	44	1481	2317	21	117	34	50	23	10	44	82	15	10	1341	289	1484	1244	10	16	57	10	10	109	355	1174
"M63835_at"	10	10	10	10	10	10	10	10	10	10	10	267	10	10	361	586	227	232	10	10	225	37	10	10	10	725	10	10	119	10	10	10	10	10	10	353	615	10	44	10	10	10
"M63904_at"	10	172	29	176	166	91	10	716	10	10	10	10	10	259	10	10	10	10	10	10	10	74	10	10	10	328	10	321	10	10	10	610	997	10	10	103	10	136	10	178	10	10
"M63962_rna1_at"	10	10	40	10	10	10	10	10	10	10	58	10	10	242	203	10	326	378	162	258	152	177	10	10	10	10	10	21	10	145	10	10	10	10	10	41	10	10	639	10	10	10
"M64082_at"	99	23	10	33	10	10	10	38	10	10	10	10	10	10	10	10	10	10	10	10	10	299	24	200	10	491	21	15	10	70	10	546	10	10	10	10	10	228	10	79	10	10
"M64572_at"	10	10	10	10	10	10	37	10	10	10	10	10	173	10	94	243	10	10	10	202	10	251	392	856	161	10	10	10	10	90	10	10	698	10	358	177	1971	10	222	10	1272	553
"M64595_at"	10	10	10	10	52	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	283	10	59	10	24	10	481	10	80	10	10	10	272	10	10	847	10	10	10
"M64676_at"	10	10	10	10	10	32	10	10	10	10	10	10	10	10	86	407	10	10	10	10	10	10	10	10	10	10	10	10	10	10	364	10	10	10	452	53	10	10	193	10	10	10
"M64930_at"	16	68	88	73	10	44	39	155	10	31	10	10	288	135	10	10	10	38	238	357	18	23	10	54	10	10	43	69	44	10	10	337	817	502	10	10	201	19	10	124	577	425
"M65291_at"	38	37	11	10	27	10	10	21	23	41	29	10	154	10	37	36	191	113	103	23	42	110	378	10	10	11	51	107	23	10	176	458	336	88	10	10	375	10	10	10	10	101
"M68874_at"	98	143	31	10	84	42	10	42	23	46	10	60	110	147	408	138	11	119	97	10	24	10	10	50	10	179	10	10	10	10	109	10	109	331	10	10	10	441	10	10	35	10
"M69177_at"	69	306	342	211	244	118	85	368	10	219	514	808	10	10	2237	3510	2561	78	542	10	13	25	10	197	168	105	149	40	69	100	503	1696	798	118	10	101	2269	7353	64	506	180	865
"M73077_at"	105	259	10	280	328	10	10	379	10	367	10	10	10	826	10	58	308	279	710	10	10	10	10	373	10	110	208	190	10	10	10	10	10	10	10	10	10	615	10	17	10	10
"M73481_at"	48	10	10	10	10	10	10	10	10	10	96	10	10	10	842	10	10	10	10	10	10	10	10	10	10	10	10	10	10	205	388	10	10	10	10	10	451	10	158	148	1050	10
"M74161_at"	35	10	99	53	253	10	42	230	10	125	10	10	10	35	10	69	108	10	86	10	62	118	10	57	10	19	10	34	10	10	151	10	10	75	313	12	10	177	14	10	10	10
"M74297_at"	10	10	368	33	98	279	10	53	10	139	119	284	10	366	99	10	117	80	206	211	33	460	143	147	27	10	10	28	238	10	10	209	522	289	35	10	10	32	10	10	192	10
"M74447_at"	10	10	10	10	25	10	10	10	10	10	10	142	67	53	94	10	10	10	124	319	157	10	10	10	10	28	68	10	57	10	10	10	10	10	10	59	192	10	10	10	10	10
"M75106_at"	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	255	10	10	196	10	272	10	10	10	10	10	10	18	10	10	10	10	10	730	10	10	10	303	52
"M76180_at"	10	10	10	10	10	149	10	24	213	10	10	10	10	10	10	10	10	10	10	202	10	10	10	10	10	10	10	40	36	10	10	10	10	10	1415	72	10	144	89	29	3308	10
"M76558_at"	18	10	10	10	10	10	10	10	10	10	10	223	10	70	37	10	10	141	10	10	10	10	10	10	10	10	10	10	10	10	309	225	10	10	10	10	10	10	10	10	140	238
"M76559_at"	64	406	10	10	73	399	1307	141	42	899	10	486	231	88	128	10	10	97	217	173	590	10	66	10	10	124	10	10	10	300	473	844	10	108	31	10	423	13	10	1339	577	340
"M77016_at"	75	10	309	47	10	10	10	10	147	10	245	753	529	1009	1115	305	447	48	819	493	10	30	34	103	10	10	10	10	10	140	740	602	609	653	10	39	10	54	29	49	10	163
"M77140_at"	10	108	10	10	10	10	10	10	10	10	72	92	10	76	64	10	60	10	195	10	10	10	10	27	10	47	48	80	19	10	309	72	10	10	10	328	490	10	49	10	151	719
"M77235_at"	112	10	10	344	10	10	10	202	197	214	10	10	10	10	10	10	10	10	10	10	10	231	10	10	10	67	10	10	10	315	194	10	10	10	10	26	10	10	104	10	560	10
"M81750_at"	19	10	60	10	134	10	10	56	30	10	10	38	62	10	10	189	22	48	119	10	75	19	10	94	39	81	28	42	10	10	10	10	131	10	10	88	10	10	10	10	175	224
"M82919_at"	436	580	232	314	63	648	378	1233	64	361	403	98	96	466	10	10	45	48	819	277	201	10	11	10	10	74	10	24	41	35	48	635	144	42	58	97	10	119	44	890	706	67
"M82962_at"	15	377	10	156	10	10	10	10	133	66	270	393	259	212	245	10	10	10	103	192	10	10	82	10	10	10	28	10	10	10	10	1422	711	1037	10	10	221	10	10	10	64	154
"M83186_at"	10	252	101	10	10	10	64	10	39	248	10	10	10	10	10	10	114	10	43	65	41	10	10	10	10	2797	242	253	216	451	1590	4356	1631	1093	10	655	38	10	10	10	140	10
"M83363_at"	10	403	180	176	10	260	190	10	12	94	10	284	110	10	10	94	10	34	987	188	61	172	10	291	12	10	296	10	10	10	145	40	397	10	10	10	10	220	10	10	531	113
"M84526_at"	71	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	459	10	10	244	4002	10	10	32	10	10	10	10	10	10	10	10	10	10	2002	10	10
