	"ALL_1"	"ALL_2"	"ALL_3"	"ALL_4"	"ALL_5"	"ALL_6"	"ALL_7"	"ALL_8"	"ALL_9"	"ALL_10"	"ALL_11"	"ALL_12"	"ALL_13"	"ALL_14"	"ALL_15"	"ALL_16"	"ALL_17"	"ALL_18"	"ALL_19"	"ALL_20"	"ALL_21"	"ALL_22"	"ALL_23"	"ALL_24"	"MLL__1"	"MLL__2"	"MLL__3"	"MLL__4"	"MLL__5"	"MLL__6"	"MLL__7"	"MLL__8"	"MLL_9"	"MLL_10"	"MLL_11"	"MLL_12"	"MLL_13"	"MLL_14"	"MLL_15"	"MLL_16"	"MLL_17"	"MLL_18"	"MLL_19"	"MLL_20"	"AML_1"	"AML_2"	"AML_3"	"AML_4"	"AML_5"	"AML_6"	"AML_7"	"AML_8"	"AML_9"	"AML_10"	"AML_11"	"AML_12"	"AML_13"	"AML_14"	"AML_15"	"AML_16"	"AML_17"	"AML_18"	"AML_19"	"AML_20"	"AML_21"	"AML_22"	"AML_23"	"AML_24"	"AML_25"	"AML_26"	"AML_27"	"AML_28"
"34430_at"	10	977	10	10	10	10	10	842	10	10	40	10	808	79	1122	10	894	10	10	10	40	10	10	10	376	613	667	243	10	10	10	18	265	10	153	69	752	10	929	314	1692	717	584	302	140	656	627	38	10	10	10	10	259	10	431	155	391	1036	884	875	358	676	257	303	11	393	1134	493	509	10	1144	10
"34432_at"	10	185	10	10	10	10	10	10	562	10	10	10	10	10	10	10	10	10	10	10	10	10	127	10	10	10	10	1321	10	10	10	10	121	131	10	10	10	10	10	10	10	10	10	10	10	431	10	10	10	10	10	10	10	10	694	358	771	10	10	10	67	10	316	10	10	10	10	10	420	10	10	10
"34459_at"	78.5	55	10	10	93	57	111	10	249	235	133	10	159	14	10	302	10	136	114	106	260	413	12	220	188	159	61	124	24	69	22	284	189	899	10	10	10	239	10	10	1288	423	10	165	10	181	103	10	10	10	10	1033	10	205	10	10	10	10	10	10	10	10	157	10	10	10	10	10	10	10	10	10
"34466_at"	122.4	241	10	10	10	10	88	414	154	161	10	10	365	565	10	10	10	16	33	728	10	10	10	10	10	10	230	10	42	10	10	371	318	10	10	23	454	689	446	1261	853	204	10	276	128	10	384	10	10	10	10	501	279	10	186	274	260	54	215	515	10	191	1383	10	316	894	393	10	342	417	10	516
"34476_r_at"	10	10	10	10	10	10	10	10	15	10	12	34	10	10	10	10	20	21	10	10	45	28	10	26	10	10	10	10	69	10	10	51	10	10	10	10	17	10	10	10	10	10	10	10	50	999	10	10	319	31	3005	1918	414	10	10	2517	10	28	10	10	4483	10	147	1090	41	1246	1917	313	10	10	10	24
"34496_at"	10	427	189	10	10	12	10	10	87	619	10	46	10	352	10	10	537	260	378	10	10	813	10	149	10	69	10	10	10	10	10	10	192	10	10	10	365	10	10	1103	10	58	10	10	10	280	10	10	10	254	10	10	407	897	357	10	863	619	10	10	909	10	1692	10	10	286	150	234	304	552	10	630
"34498_at"	10	10	10	332	10	10	10	15	10	1009	14	401	808	10	10	210	199	40	91	250	10	263	11	10	745	69	10	80	100	92	401	652	251	222	132	10	158	439	10	10	10	10	640	525	10	77	103	10	10	10	10	10	10	10	10	186	10	10	10	10	10	10	10	1040	2174	10	10	10	350	10	146	10
"34502_g_at"	10	10	10	10	10	10	10	10	10	10	10	10	690	10	10	10	194	187	10	131	275	91	10	10	10	10	204	388	265	10	214	10	77	137	10	365	560	10	10	308	10	10	10	10	10	10	10	10	61	131	10	10	10	10	391	10	10	10	10	10	214	10	217	10	10	445	10	587	10	10	10	10
"34511_s_at"	10	632	41	1241	10	973	10	219	21	388	394	1009	10	292	349	567	1877	595	335	10	527	10	10	2430	472	179	10	10	950	183	10	148	486	15	1133	10	10	1390	10	612	10	10	10	213	10	10	10	10	227	10	10	10	10	292	10	10	228	10	10	10	421	70	177	10	129	10	10	454	106	10	10	573
"34525_at"	10	10	10	10	10	16000	1912	12337	627	10	10	10	10	10	1329	10	941	3428	169	12628	10	10	10	4230	10	10	10	10	10	10	10	10	10	10	10	10	646	10	10	10	10	10	10	93	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1928	10	10	10	10	10	10	10	10	10	10	10
"34898_at"	75.1	10	59	10	10	10	10	10	10	10	10	10	10	10	10	81	396	10	10	244	10	10	10	10	88	46	10	10	720	10	71	10	82	10	102	10	277	7996	827	10	875	1624	10	10	8732	10	940	10	56	349	55	10	10	19	10	108	10752	130	375	10	16000	105	1203	10	1889	16000	611	3849	10	3105	10	10
"34904_at"	229.4	10	109	10	583	117	10	14	69	10	165	34	10	241	10	10	10	74	10	10	23	125	123	10	78	142	10	56	64	10	41	48	10	222	10	10	10	18	10	63	217	10	109	98	228	10	308	323	10	10	10	10	246	474	10	254	1066	134	124	217	10	10	1129	10	177	500	128	418	137	21	428	448
"34913_at"	209.6	106	91	10	226	10	10	229	10	109	109	10	183	315	10	10	179	10	10	10	10	283	23	37	10	10	255	110	10	10	88	10	97	175	10	110	10	85	175	392	443	204	157	163	10	186	48	10	12	10	233	71	10	10	10	255	256	214	10	323	10	10	10	10	10	91	90	10	169	10	10	10
"34916_s_at"	10	10	10	10	10	75	39	10	85	10	10	10	10	21	10	10	68	50	10	54	32	316	128	10	10	10	10	910	10	10	10	10	10	146	43	10	10	10	346	10	10	164	44	26	10	10	33	10	10	198	302	10	10	803	10	10	181	10	92	33	194	551	791	10	10	293	243	16	10	10	10	10
"34934_at"	144	692	10	201	1808	381	1135	256	593	80	847	730	1108	368	899	937	71	207	1067	1110	544	489	724	10	10	10	16	17	10	84	151	10	30	10	10	190	210	126	10	10	10	200	313	149	10	10	10	10	88	320	17	10	22	10	532	277	10	10	264	10	10	26	10	439	10	10	14	10	10	10	10	10
"34937_at"	10	120	10	10	47	50	159	102	117	195	25	106	75	24	27	217	10	19	190	381	172	142	87	20	225	177	255	103	18	117	32	12	27	136	10	223	10	10	10	92	199	190	38	602	10	10	10	10	10	10	102	31	10	10	10	10	10	10	10	10	10	13	10	10	10	10	10	10	10	10	10	210
"34950_at"	3664.6	2481	715	1280	1148	2024	2002	1461	619	1518	1912	795	386	10	1291	1522	172	1066	633	654	602	432	1486	799	635	10	165	10	680	445	10	57	76	45	10	136	80	229	117	10	10	551	10	1327	10	10	10	10	10	10	10	10	10	10	32	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
"34959_at"	38.9	29	10	10	10	164	10	193	10	147	10	10	107	21	10	10	10	10	10	101	10	282	36	10	10	534	30	10	10	10	10	10	10	10	141	10	10	10	22	10	10	10	194	10	10	455	10	10	10	10	317	10	10	10	10	10	10	1333	10	10	10	10	127	10	232	10	10	141	749	584	203	10
"34960_g_at"	10	415	10	10	10	442	10	554	10	1092	202	90	180	10	10	10	10	10	10	205	10	438	10	126	33	3414	10	602	337	10	10	378	185	10	360	10	10	267	10	10	185	10	1830	10	10	1763	10	10	517	10	675	6032	10	10	67	10	10	4249	10	10	10	11	423	10	451	10	52	10	3001	4774	291	10
"34990_at"	610.9	710	168	7586	858	2799	899	1075	1339	1308	577	4400	777	10	973	1997	289	76	8742	804	502	518	620	140	10	44	10	10	10	10	10	10	10	10	14	10	10	45	10	10	10	50	942	10	10	40	10	10	10	222	10	10	10	10	10	10	321	94	96	164	17	10	10	10	10	10	10	26	55	13	74	10
"35000_at"	10	39	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1018	10	10	10	10	696	1058	10	10	10	205	10	10	296	242	10	10	10	10	10	10	10	10	10	10	10	388	10	10	10	531	10	10	10	10	10	10	996	10	10	10	10	558	10	10	10	10	172	10	10	10	10	10
"35002_g_at"	134	90	124	10	34	10	10	10	10	10	55	58	10	10	10	10	124	10	100	10	129	13	90	123	134	10	13	10	470	21	10	36	10	10	10	10	10	10	484	10	119	10	10	10	194	10	164	10	10	211	10	10	157	10	10	125	507	160	10	178	545	555	454	177	84	503	384	375	10	10	10	10
"35381_at"	10	10	10	10	801	10	10	10	10	10	583	65	378	10	10	117	10	10	10	10	10	871	554	10	10	10	703	10	10	10	10	10	230	10	10	321	10	10	10	10	10	10	335	903	10	10	10	10	10	10	10	10	10	10	188	150	10	10	10	10	10	921	10	10	1085	10	210	176	629	1540	10	10
"35388_at"	114.2	153	329	10	10	53	10	10	10	483	90	10	10	132	10	106	460	328	10	30	10	333	91	181	51	193	287	208	175	92	13	75	10	10	10	10	262	178	10	83	422	356	484	211	10	10	10	10	10	10	10	204	10	10	10	17	10	135	10	10	10	370	54	10	21	10	10	10	10	10	104	85
"35401_s_at"	10	10	10	10	1232	60	89	10	10	263	10	10	10	10	10	10	10	10	10	2654	10	10	10	38	1229	512	1550	662	10	569	10	1143	2090	10	10	10	2143	81	10	669	10	743	10	343	10	10	10	10	10	10	10	160	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	380	10	10	10
"35426_at"	10	10	10	10	1734	10	10	10	10	286	10	10	10	10	10	101	868	260	10	471	601	10	10	470	10	10	10	166	10	10	442	236	10	10	207	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	781	10	48	10	10	10	504	10	10	10	818	10	480	10	10	10	10	10	1003	57
"35481_at"	178.7	31	463	10	269	10	217	27	142	10	10	10	116	74	10	10	10	10	10	276	10	10	163	10	24	10	10	44	10	10	49	333	10	10	219	147	10	10	104	212	409	10	50	10	46	10	423	10	10	86	10	161	10	10	27	10	236	10	30	198	220	10	180	16	10	110	180	493	212	10	10	10
"35484_at"	24.7	10	1332	10	10	10	121	111	10	137	10	366	1545	10	295	10	10	10	10	10	189	1602	692	10	300	624	10	10	113	578	10	10	556	10	10	10	10	10	10	10	10	10	10	10	10	267	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
"35879_at"	60.3	50	17	10	144	10	191	409	63	10	93	10	10	81	10	10	10	109	310	94	10	11	10	10	10	10	10	10	10	10	10	48	10	108	298	65	70	10	10	10	147	94	41	108	10	14	13	1769	89	10	191	33	130	39	62	80	30	111	10	99	10	10	10	10	116	10	236	251	10	10	18	10
"35885_at"	395.1	10	167	12	895	391	10	10	15	15	725	10	10	10	10	824	220	179	597	10	265	18	499	173	10	21	387	380	46	144	295	174	98	10	10	479	10	257	353	10	10	10	1157	606	10	42	346	51	10	10	10	25	10	10	10	10	46	100	117	10	10	162	329	10	55	10	10	79	10	10	10	10
"35893_s_at"	10	10	70	10	21	10	10	24	10	174	10	10	26	10	10	10	10	10	10	13	10	98	10	10	21	10	14	10	10	10	10	65	20	114	10	10	10	10	10	10	640	10	78	84	210	174	97	221	10	24	779	105	129	201	26	278	10	76	10	10	10	10	198	707	47	27	82	205	179	213	10	159
"35909_at"	10	10	10	10	10	10	10	118	31	10	10	10	10	10	10	10	244	10	10	10	10	10	10	10	27	145	10	10	65	10	10	38	10	150	240	10	10	207	10	10	10	10	49	236	10	228	10	10	10	108	19	10	528	10	10	164	10	1120	10	10	614	10	1861	1132	10	1816	735	10	10	10	10	19
"35918_at"	19.1	33	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	41	10	10	10	10	18	91	10	10	22	488	321	10	10	10	10	10	10	10	10	10	10	10	10	10	10	14	2193	10	203	1552	10	512	10	1542	426	361	1053	107	10	10	10	10	10	10	715	10	10	10	10	2470	57	1954	2349	2935
"35919_at"	10	10	10	10	121	10	31	26	85	42	754	358	368	81	10	10	10	121	152	43	352	16	60	10	51	56	10	10	568	27	944	46	10	118	20	143	10	10	430	10	44	211	98	27	63	150	10	10	10	10	10	74	10	19	12	995	178	10	10	65	10	10	19	10	10	143	403	52	45	134	40	10
"35920_at"	10	10	10	10	10	148	10	424	10	10	10	10	10	10	10	10	10	10	10	10	1082	10	10	10	10	10	39	10	10	10	10	10	31	10	171	10	10	280	10	10	10	10	10	10	412	123	10	10	10	10	10	10	2080	215	10	241	10	10	1660	10	10	10	113	10	397	40	10	2721	10	10	10	10
"35923_at"	10	10	10	10	10	268	10	962	10	952	10	10	10	814	271	353	794	375	543	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	76	808	973	484	10	10	1250	10	929	10	10	10	10	604	10	10	640	546	604	10	1055	10	10	1022	1493	1517	977	10	1318	1256	563	61	10	10	10	10	171	1085
"35940_at"	1527.1	344	10	2298	312	905	4194	6430	41	820	796	1908	657	3868	10	10	51	10	11462	5003	10	10	2293	248	10	375	241	10	10	10	10	46	10	107	50	145	10	10	49	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	87	10	10	28	244	10	44	32	10	10	10	10	11601
"35948_at"	116	10	10	135	177	10	10	35	10	355	10	10	10	10	10	10	10	48	83	10	168	10	197	103	272	10	146	10	10	10	10	353	88	49	10	10	10	10	10	466	10	142	141	149	10	10	10	10	10	10	10	10	15	324	193	157	381	27	10	193	10	10	10	10	214	10	10	10	14	10	10	108
"35949_at"	55.8	10	10	282	203	115	108	52	135	309	45	433	10	298	10	316	10	394	357	108	32	71	79	18	19	10	10	70	10	10	55	17	10	625	10	128	10	98	210	10	62	3209	112	61	34	23	10	10	10	10	10	57	120	39	49	10	10	10	10	57	10	10	15	10	80	95	10	10	10	35	137	10
"35951_at"	381	281	10	41	12	10	292	10	20	23	722	170	10	1204	10	10	42	47	10	10	103	241	733	219	97	195	125	10	10	10	71	86	216	54	10	10	10	10	74	91	10	10	10	10	222	31	10	10	10	10	10	67	105	10	10	135	68	10	10	88	10	10	10	10	13	10	10	10	10	164	10	10
"35965_at"	96.3	10	10	10	10	10	10	10	10	180	10	10	28	10	10	10	10	10	10	10	298	10	10	10	10	750	10	104	259	10	10	1811	10753	16000	10	10	10	15885	10	10	541	31	2603	10	10	10	250	10	10	10	10	29	10	10	10	719	10	407	73	10	10	10	10	357	393	10	10	10	6152	10	10	10
"35971_at"	10	197	10	10	222	84	90	10	10	10	10	10	10	96	43	10	17	10	39	135	79	97	163	10	10	10	137	27	10	10	10	58	10	160	10	255	10	10	10	268	307	201	147	10	10	206	145	93	114	91	60	10	24	10	10	10	14	10	10	94	10	141	311	165	45	10	174	10	10	10	115	42
"36213_at"	24	969	58	215	10	1754	1471	982	1226	313	10	428	10	4162	1134	720	10	983	930	10	154	10	51	326	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
"36229_at"	10	10	10	1317	10	10	10	10	10	1214	571	1120	1457	10	10	10	10	10	1782	723	10	158	318	10	726	3287	2832	807	793	1368	4638	10	1312	3347	10	10	1046	10	2162	1766	11385	2773	1439	1523	35	2948	4690	969	10	10	3647	331	10	10	10	1439	10	1689	10	10	316	1012	1480	5181	150	720	3198	10	3746	10	1068	10
"36236_at"	10	431	10	10	245	132	115	94	10	10	59	10	19	76	288	10	168	12	10	43	10	10	132	71	120	19	98	185	11	10	76	170	114	10	10	179	183	10	10	10	10	19	10	10	49	101	10	75	10	291	147	24	80	134	346	10	169	10	10	172	10	10	160	10	10	244	10	46	18	10	10	10
"36238_at"	10	161	283	1107	10	1806	226	10	965	10	886	1922	989	10	10	10	10	1473	1934	1250	411	13	10	10	483	63	1236	10	707	354	10	10	1269	10	209	10	10	2141	10	10	10	821	10	1268	327	650	10	10	1296	952	10	665	112	10	10	93	10	10	10	10	1308	10	10	10	675	682	10	1770	11	10	264	1443
"36239_at"	10358	10999	2006	3542	2363	8181	8134	5714	2208	2008	9155	3198	2578	6084	2451	2992	2713	5150	2125	2220	1798	2705	7600	4509	1032	87	1065	636	520	885	265	600	580	223	423	1141	1587	2171	299	631	28	603	1033	2194	13	194	205	10	183	10	123	31	76	10	1025	44	10	85	10	30	10	10	45	10	53	10	96	10	151	10	79	10
"36248_at"	10	566	10	10	873	359	122	460	10	406	630	480	469	1326	10	223	10	154	471	565	10	10	703	290	10	72	517	10	253	10	638	10	10	771	10	399	10	10	417	564	10	471	147	779	10	10	10	10	10	96	10	10	80	10	10	10	10	10	10	10	10	581	10	10	10	10	106	290	200	242	10	10
"36253_at"	111.4	326	10	10	10	58	108	10	59	10	139	10	10	57	10	54	10	129	11	41	69	158	56	19	102	3250	10	10	10	124	37	444	172	42	89	10	28	10	10	10	10	10	1338	111	10	10	85	10	10	10	10	10	123	390	10	10	10	36	10	1959	10	10	10	10	10	10	10	10	415	844	10	10
"36264_at"	10	10	10	10	290	10	10	10	10	10	10	10	10	10	10	20	1098	10	10	10	10	10	10	10	1534	933	10	10	187	895	10	10	659	10	75	10	793	10	646	686	10	10	10	10	10	10	2537	986	206	10	10	10	402	10	10	10	10	10	10	10	10	932	10	10	10	10	10	10	10	10	10	10
"36267_at"	10	83	10	10	10	10	499	132	10	10	10	10	253	10	10	10	10	10	497	580	10	10	10	10	546	181	10	611	10	86	10	10	10	10	10	10	10	10	146	891	1591	10	464	10	384	10	314	10	10	10	289	10	83	926	79	10	805	10	1272	92	381	10	429	10	10	73	1801	447	135	10	10	10
"36272_r_at"	12.9	10	10	10	10	10	10	13	41	68	10	10	10	10	10	10	10	10	10	28	10	10	10	20	10	10	60	10	10	10	10	10	10	10	10	10	10	15	10	10	10	10	10	10	662	54	326	516	10	172	10	184	432	410	740	192	10	129	10	53	10	10	922	10	40	31	10	301	37	696	427	790
"36304_at"	338.7	10	10	10	632	10	448	10	386	482	10	10	369	875	10	10	504	10	398	982	10	728	650	10	10	10	10	10	78	10	559	387	10	10	10	503	10	10	665	932	10	491	570	10	652	406	725	726	246	10	10	16	624	10	10	885	10	837	10	1025	10	407	10	10	10	740	10	685	95	718	1144	627
"36314_at"	10	92	121	655	46	350	378	424	296	952	323	319	707	851	69	335	143	634	10	186	10	824	10	215	79	10	10	10	983	10	10	10	10	10	39	10	10	334	10	37	10	12	490	91	184	10	406	10	1433	11	10	427	10	10	10	10	10	10	146	10	10	10	10	10	216	10	10	10	10	10	10	53
"36694_at"	198.5	150	10	10	10	176	88	199	338	41	82	16	10	227	10	100	63	62	53	190	20	952	72	226	102	10	21	10	10	10	17	10	141	93	10	10	10	10	46	10	46	10	10	10	29	60	55	10	10	10	102	75	91	13	10	10	10	129	10	10	10	10	10	10	12	142	10	10	10	163	10	27
"36732_at"	10	121	10	10	10	10	10	249	10	10	10	10	10	580	10	386	10	153	136	10	10	465	10	10	10	10	10	10	10	10	10	122	1020	75	10	10	10	10	10	10	877	77	10	10	10	174	10	10	10	10	10	1628	432	871	10	10	10	10	288	10	10	10	10	10	1858	10	10	10	286	10	10	10
"36735_f_at"	10	108	17	10	1880	40	152	16	42	10	315	10	295	329	330	880	375	10	10	10	10	505	10	10	10	222	10	146	10	10	10	10	31	10	19	121	10	528	10	231	160	274	349	10	10	10	3174	44	320	10	84	296	10	10	10	298	10	10	69	10	74	10	137	235	103	10	274	10	15	10	10	26
"36738_at"	20.3	10	10	84	10	51	10	10	10	90	10	155	259	10	10	25	10	10	130	32	10	10	10	127	54	30	10	104	115	52	19	41	119	49	10	23	126	162	359	85	10	203	213	131	82	51	161	144	122	10	10	100	10	352	309	176	82	10	10	161	10	199	43	171	11	10	10	10	10	11	10	296
"36749_at"	10	22	10	10	10	100	42	16	10	724	10	10	38	47	10	10	10	10	32	144	87	49	41	10	10	10	101	10	281	10	191	10	10	10	10	22	233	10	10	10	10	10	10	10	6309	10	10	1398	175	91	134	10	4023	4296	10	3636	10	10	2287	198	424	89	4307	24	365	647	4124	1092	75	901	1471	824
"36757_at"	4128.9	502	54	127	10	608	672	47	11	10	446	1033	18	290	10	148	327	1402	674	134	603	10	289	1366	10	303	285	10	10	10	573	727	95	358	188	10	43	55	10	10	10	10	10	1099	10	10	10	10	10	10	734	746	512	347	10	154	134	385	96	46	10	159	207	10	10	10	10	10	10	10	60	493
"36762_at"	19.5	10	10	10	137	240	37	126	10	10	111	10	294	10	10	10	10	64	10	10	10	10	10	87	35	10	10	42	10	42	10	10	10	117	10	10	10	10	141	10	10	10	10	67	203	11	391	10	10	155	226	82	53	10	10	75	113	10	130	10	288	198	351	116	207	175	28	148	95	71	166	10
"36770_at"	10	10	10	30	344	80	73	10	10	10	170	10	491	368	10	12	60	10	197	67	10	77	114	10	10	126	127	98	72	99	240	10	157	10	10	10	10	78	10	125	10	10	10	10	302	203	74	10	270	22	130	10	10	344	146	24	10	248	10	10	10	32	10	320	10	39	10	10	191	275	158	10
"36771_at"	913.3	1387	420	10	1704	1385	1152	60	10	245	10	10	1087	226	25	10	667	29	413	1241	10	10	2638	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	182	574	10	302	10	10	10	531	169	207	186	10	10	10	251	205	297	726	1002	10	380	10	10	81	10	10	554	10	10	10	10	10	160
"36781_at"	10	149	73	81	10	71	94	830	661	10	302	98	762	64	338	32	59	10	10	10	174	991	336	10	111	350	200	1058	643	20	646	666	201	637	142	1546	983	253	396	361	35	599	2018	10	73	108	389	4142	63	152	2588	3443	718	29	10	2500	91	2290	1486	785	1150	955	4651	9288	16000	3762	579	10	9448	719	2580	34
"36796_at"	32.6	10	10	10	10	10	10	10	10	10	27	10	10	10	10	10	10	10	34	10	10	108	124	10	434	231	750	10	10	333	468	57	64	10	10	649	10	10	241	480	10	10	84	10	60	253	66	10	10	10	14	10	10	645	10	10	10	10	73	259	10	236	240	10	10	10	37	10	249	290	346	10
"36809_at"	10	10	10	43	10	10	10	132	35	151	1025	543	1002	32	10	145	10	105	83	213	2740	20	10	10	1411	37	35	40	2323	10	881	27	10	215	170	10	523	67	245	381	1890	261	78	10	10	405	8557	103	10	10	10	154	2543	83	10	15945	3599	10	1609	314	10	347	628	26	156	437	1877	259	10	79	852	91
"37066_at"	10	10	10	10	10	10	10	311	10	10	549	216	564	10	10	10	10	10	10	181	1078	10	10	10	773	10	10	10	10	10	6241	10	10	10	10	10	10	10	10	10	4573	10	10	10	5444	423	10	16000	10	41	4871	183	9428	10	10	16000	10	713	10	2185	3208	4489	3531	10	79	10	943	10	10	4616	16000	4973
"37069_at"	10	10	10	10	10	10	10	84	209	97	10	214	190	10	10	10	10	17	164	10	71	10	10	23	74	10	237	106	10	10	77	77	192	10	10	10	10	10	351	17	104	22	62	85	10	198	42	10	62	10	10	10	191	10	231	10	305	10	517	163	409	10	103	10	10	306	10	303	187	10	10	10
"37074_at"	27	10	10	10	14	30	10	209	10	10	10	45	235	10	10	88	10	10	10	10	18	26	10	10	10	10	29	109	10	10	10	51	39	15	87	255	176	10	10	10	226	10	323	10	554	146	206	349	10	169	229	34	339	321	162	112	256	134	163	219	212	140	177	262	10	237	10	136	10	10	10	234
"37084_at"	92.6	141	81	10	10	257	15	153	10	318	10	10	378	10	609	10	235	10	10	10	202	74	330	82	10	10	10	166	273	111	153	107	10	188	10	139	119	10	10	181	10	448	230	10	201	10	10	225	177	211	10	10	167	98	308	10	10	10	592	10	284	204	10	10	26	10	183	598	10	10	10	10
"37088_at"	111.1	10	10	10	10	35	137	150	10	10	10	10	10	269	10	47	971	389	10	58	243	135	10	10	10	98	10	10	212	10	10	10	347	1201	10	10	10	50	481	655	100	312	10	10	371	20	263	10	10	10	349	141	444	195	180	572	501	104	10	242	1663	143	470	464	10	793	123	691	872	10	621	10
"37096_at"	10	10	10	10	547	10	54	229	10	10	1428	10	3624	10	10	10	10	10	10	518	3915	10	10	70	1484	10	187	175	10	10	16000	10	73	546	30	10	135	10	1047	10	16000	314	10	233	16000	16000	71	16000	223	10	16000	10	16000	10	10	16000	10	3412	10	2001	16000	10477	1625	150	87	3459	16000	2438	5400	6582	16000	7746
"37102_at"	11.6	10	10	459	10	10	10	10	10	34	10	10	10	10	204	10	360	42	10	10	10	562	10	589	10	10	297	20	368	10	10	472	103	26	70	135	10	10	10	18	495	148	137	10	154	245	10	261	412	305	453	10	464	875	598	833	95	252	382	10	38	12	942	892	10	10	395	329	681	10	10	10
"37114_at"	284.5	198	30	88	10	497	285	10	229	10	280	179	10	1114	10	1288	546	1864	387	10	1091	166	76	369	852	1105	513	10	773	379	382	656	435	773	174	10	287	119	538	342	10	607	10	2859	10	137	76	10	10	10	10	10	10	10	1667	10	223	10	10	10	10	10	10	89	224	10	10	103	249	10	10	10
"37117_at"	103.6	37	121	10	10	10	12	10	10	10	221	10	10	10	237	10	88	10	10	10	10	87	63	10	26	10	10	10	10	10	10	10	10	189	142	10	10	52	224	234	10	10	291	35	75	230	10	219	148	107	10	128	217	10	184	190	264	314	10	213	10	10	10	10	112	333	601	266	10	10	36	325
"37123_at"	10	38	10	10	197	10	254	152	123	10	101	10	10	106	37	54	90	15	10	10	10	247	10	10	340	180	208	87	10	205	102	19	179	10	10	65	94	10	10	13	183	174	10	247	10	10	10	50	73	10	1622	333	10	10	10	10	10	10	10	10	10	10	10	161	280	10	10	10	10	10	10	10
"37134_f_at"	374.2	489	1422	338	159	139	507	291	372	10	487	611	319	10	10	101	10	10	295	10	10	2362	10	10	679	1612	454	553	10	172	1488	10	1597	10	10	10	145	243	408	1511	10	598	10	76	10	296	465	252	286	45	10	10	64	653	10	592	811	10	10	10	10	778	10	10	150	10	32	776	1216	355	10	10
"37135_f_at"	10	10	10	10	10	10	47	10	10	10	79	215	10	128	93	139	10	10	178	10	10	155	138	10	93	79	170	10	10	10	10	10	10	15	10	10	10	206	10	10	10	10	10	240	10	10	535	10	10	10	10	69	170	208	83	351	429	10	10	10	10	10	290	749	114	323	338	711	641	395	295	10
"37136_at"	390	24	167	154	10	10	130	10	10	10	10	10	10	10	10	10	10	115	45	10	10	10	951	79	10	10	367	563	87	10	332	10	68	101	10	54	10	74	73	305	940	10	10	10	10	76	10	10	10	10	10	10	10	10	10	10	10	195	10	10	115	289	220	10	10	10	953	10	1605	10	181	10
"37137_at"	10	26	10	10	10	221	10	91	51	122	10	10	2133	71	10	15	10	10	79	42	10	775	78	10	10	10	10	62	10	10	10	10	153	18	10	368	10	552	10	10	10	120	678	10	228	86	8561	18	368	10	10	503	10	10	10	18	10	10	271	10	317	10	89	10	10	109	578	10	97	10	10	10
"37138_at"	10	366	10	124	285	226	702	10	1321	10	3472	10	10	941	643	1306	10	413	412	10	10	10	10	10	10	180	10	10	139	10	10	10	55	10	10	10	10	10	10	10	10	10	207	495	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	34	10	10	10	10	10	10	10	10	10	10
"37145_at"	10	10	10	10	255	1285	10	1349	898	496	10	422	7968	74	83	106	197	10	1755	10	229	4835	235	10	10	10	10	43	1687	10	10	10	186	10	534	2284	10	971	249	74	10	1309	3026	10	501	112	16000	758	5449	10	484	343	1094	10	10	887	245	10	1020	10	1268	10	10	10	10	1718	985	618	10	10	10	10
"37148_at"	10	10	10	10	10	10	10	1079	288	52	10	10	1003	10	10	10	10	10	10	23	390	303	10	10	61	170	10	446	961	10	1423	3289	2999	7587	613	355	763	2785	10	172	8295	1031	7959	137	554	2957	578	1845	10	10	255	3049	83	10	10	1520	10	2580	19	210	2490	10	1534	5049	9516	2536	854	269	7814	449	288	10
"37149_s_at"	10	10	10	10	278	10	10	1476	173	10	11007	3860	7228	10	10	10	10	424	10	10	3919	217	10	10	985	10	10	10	8410	10	16000	10	1119	10	10	10	10	10	661	10	10	5203	10	10	10	10	10	561	10	10	10	10	10	10	10	16000	10	10	10	10	6605	10	10	10	10	10	10	10	10	10	10	10
"37155_at"	208	10	17	59	524	29	152	25	10	10	10	128	64	10	187	49	10	10	298	10	622	10	37	225	10	10	10	10	10	156	10	67	19	174	222	10	78	10	50	10	31	10	185	10	244	91	10	94	233	513	10	62	268	125	10	10	10	10	10	10	525	10	216	10	270	238	10	304	10	10	10	10
