	DLBC1	DLBC2	DLBC3	DLBC4	DLBC5	DLBC6	DLBC7	DLBC8	DLBC9	DLBC10	DLBC11	DLBC12	DLBC13	DLBC14	DLBC15	DLBC16	DLBC17	DLBC18	DLBC19	DLBC20	DLBC21	DLBC22	DLBC23	DLBC24	DLBC25	DLBC26	DLBC27	DLBC28	DLBC29	DLBC30	DLBC31	DLBC32	DLBC33	DLBC34	DLBC35	DLBC36	DLBC37	DLBC38	DLBC39	DLBC40	DLBC41	DLBC42	DLBC43	DLBC44	DLBC45	DLBC46	DLBC47	DLBC48	DLBC49	DLBC50	DLBC51	DLBC52	DLBC53	DLBC54	DLBC55	DLBC56	DLBC57	DLBC58	FSCC17	FSCC3	FSCC14	FSCC11	FSCC8	FSCC16	FSCC15	FSCC5	FSCC10	FSCC12	FSCC4	FSCC13	FSCC7	FSCC18	FSCC6	FSCC19	FSCC2	FSCC9	FSCC1
M21574_at	10	563	10	269	59	445	289	332	69	928	124	104	444	23	48	15	10	103	81	10	159	1457	17	10	641	175	10	10	10	10	772	10	240	1107	10	53	18	90	10	71	169	230	10	115	11	224	10	117	192	10	593	10	75	10	640	10	10	199	10	10	10	10	10	961	187	10	46	10	145	10	10	10	53	10	69	60	10
M21904_at	10	10	704	10	10	10	10	10	10	10	10	10	977	708	200	886	772	1688	1502	154	10	1810	31	757	1639	10	10	10	10	1741	2802	2458	10	2240	10	10	10	10	10	10	912	805	10	10	617	4689	10	903	10	1007	1547	1737	1226	1603	593	10	10	1883	782	10	10	10	10	163	10	456	10	908	1539	10	437	1110	125	759	10	118	10
M21934_at	56	32	82	79	16	39	10	31	10	10	159	60	10	136	291	93	10	20	221	10	122	69	59	206	286	292	10	29	173	10	97	225	10	138	10	68	10	102	171	10	10	10	10	16	10	328	228	10	10	61	127	137	139	168	30	251	63	180	183	27	10	10	10	10	195	99	73	34	102	80	41	157	10	207	10	10	185
M21984_at	10	8627	10	10	10	10	10	10	10	7503	10	10	10	10	10	10	10	10	10	10	66	10	10	10	10	382	10	10	10	10	10	330	10	10	10	47	10	10	10	10	10	10	10	10	10	694	10	10	10	47	10	10	10	10	10	10	10	10	10	10	10	10	10	1154	10	10	10	10	10	10	10	10	10	10	10	10	10
M22324_at	186	277	10	283	342	258	232	10	70	39	493	359	235	10	731	124	10	10	10	282	10	546	162	61	125	43	175	10	308	135	220	145	570	10	737	282	66	392	811	10	129	199	435	10	102	10	312	10	163	153	10	38	10	10	100	466	220	49	10	112	483	10	247	98	10	192	184	10	10	267	121	130	10	10	285	218	10
M24351_cds2_at	29	109	10	27	29	26	52	35	36	10	153	10	30	10	10	19	94	130	125	200	298	104	10	127	83	177	10	80	10	10	10	10	10	10	236	51	12	10	634	147	220	10	10	10	110	176	154	137	74	41	119	114	10	214	10	10	59	180	213	10	115	570	10	609	203	10	175	10	79	53	101	10	10	351	35	17	10
M24398_at	143	52	10	497	414	401	40	10	10	361	10	61	1063	94	502	408	580	10	63	295	10	10	10	156	274	10	951	10	107	521	1454	10	166	882	10	107	230	10	10	71	795	2274	767	574	10	10	10	10	492	152	10	10	459	53	844	257	694	512	10	10	843	724	775	10	35	240	10	980	10	637	241	10	527	10	10	205	736
M24461_at	89	46	295	10	821	176	52	64	10	59	3107	10	99	85	144	101	10	76	221	93	183	260	17	14	233	140	82	51	166	144	10	232	118	112	10	24	10	135	448	142	10	29	10	10	113	270	314	296	10	55	14	10	10	2672	10	124	92	107	192	10	92	27	88	10	205	92	183	158	34	86	67	58	97	215	132	115	279
M25077_at	195	343	399	357	828	542	122	508	278	423	157	330	687	10	10	699	251	60	72	460	10	284	1864	10	92	75	10	10	10	27	187	10	1697	171	10	466	680	510	10	102	10	823	77	508	206	230	10	125	797	40	700	89	180	113	661	10	200	158	11	10	10	10	56	68	32	1074	60	10	458	363	190	277	550	10	1022	144	10
M25809_at	10	37	10	10	10	322	10	61	10	12	59	10	120	20	10	288	10	247	541	62	10	405	287	366	427	10	10	202	398	357	52	10	278	10	28	10	165	80	10	10	205	10	10	85	138	538	452	165	74	10	273	259	305	10	10	31	94	225	297	10	10	10	10	10	10	292	24	10	189	10	10	10	141	10	156	132	10
M27160_at	101	236	119	91	10	10	101	99	11	42	57	110	82	92	10	153	10	34	108	130	10	128	10	10	10	10	10	32	141	10	91	10	10	131	184	90	10	131	84	10	10	10	44	127	10	267	10	10	39	10	137	58	97	148	10	60	10	10	11	11	151	46	121	339	33	44	38	10	70	15	39	199	166	199	57	10	10
M28211_at	272	10	10	10	26	10	10	10	48	10	10	10	152	10	10	503	336	334	446	161	10	10	451	528	10	10	142	83	10	285	10	94	226	294	10	101	132	94	10	110	45	258	131	10	381	389	10	23	207	10	10	10	130	10	177	92	10	77	48	10	10	10	76	10	61	338	60	149	307	199	176	198	245	10	228	183	149
M28825_at	36	68	170	226	409	10	10	10	60	193	258	29	245	212	10	18	177	10	115	10	170	10	10	10	300	252	292	27	741	194	199	277	355	10	727	68	10	10	576	144	130	63	448	10	10	10	225	10	58	391	270	287	10	472	63	365	346	10	648	435	626	10	404	2198	542	131	10	483	17	82	184	254	237	341	34	253	412
M28827_at	10	10	10	968	36	708	20	10	10	10	10	10	10	10	10	1493	630	10	10	293	10	16	10	10	10	10	10	10	10	10	10	10	2120	10	10	10	10	10	10	10	1196	254	10	10	10	3695	10	10	598	10	242	92	14	10	10	10	10	10	10	10	10	74	21	532	807	105	571	10	1158	1995	10	91	343	187	219	10	10
M29458_at	10	6774	10	10	19	33	27	43	97	8386	46	10	19	10	10	10	10	18	10	10	106	69	25	37	10	104	10	51	22	34	40	120	61	10	122	10	40	10	10	10	23	10	81	10	10	119	10	52	27	14	57	10	21	59	10	21	13	12	86	54	10	44	34	21	101	10	10	10	14	10	27	18	21	29	10	10	58
M31210_at	10	74	10	122	181	94	92	403	124	10	10	23	10	10	10	10	10	10	10	10	10	10	10	80	134	10	10	10	29	10	218	10	10	45	14	108	53	86	17	10	10	270	10	33	10	458	10	20	10	18	276	45	54	128	94	56	104	10	166	57	10	217	10	10	97	222	10	10	88	87	91	240	91	10	127	10	10
M32053_at	10	9448	186	277	117	267	1325	346	136	8821	293	52	161	438	154	73	10	10	144	10	220	671	20	10	460	158	10	121	52	39	983	628	47	1534	311	371	1075	595	10	68	133	33	10	225	10	308	174	10	323	170	1094	49	10	215	381	39	10	322	234	10	10	46	10	10	77	10	140	120	11	27	458	169	10	10	10	10	186
M32373_at	144	205	20	10	13	228	47	10	12	246	10	32	10	346	342	10	10	10	10	10	377	10	33	10	27	10	149	10	210	127	65	95	10	132	321	214	44	91	366	63	10	22	166	31	56	10	167	35	74	135	10	274	41	201	70	75	108	77	136	165	176	146	143	1219	10	64	43	195	35	63	72	10	90	163	10	80	193
M32598_at	176	454	113	10	10	10	10	10	10	998	19	10	10	143	430	173	10	10	49	10	50	10	38	78	26	10	10	10	180	52	339	115	10	10	42	49	10	11	395	10	10	10	10	10	10	10	76	52	45	61	40	179	10	125	131	189	184	25	24	299	10	192	10	10	119	19	15	113	30	159	84	225	159	311	10	10	210
M33374_at	78	181	10	190	114	170	169	20	269	224	10	268	596	10	10	88	158	71	10	100	10	10	171	59	105	10	10	10	10	119	750	72	744	71	10	182	378	273	10	10	10	52	51	287	31	365	10	10	212	10	175	10	497	10	96	144	75	10	10	10	10	10	12	10	10	244	10	10	152	96	38	10	135	10	360	10	10
M33882_at	10	2158	10	10	68	184	10	10	83	2259	10	823	581	438	693	46	545	10	848	10	10	1434	30	986	1742	10	10	96	10	395	10	138	10	686	1072	573	5190	604	10	240	376	163	97	238	58	1184	580	10	246	10	159	1889	283	10	9465	10	357	99	345	616	10	10	452	10	10	854	10	10	1360	487	192	2129	275	10	424	142	10
M34057_at	10	815	341	202	10	314	167	294	862	911	67	99	25	10	10	10	10	10	186	10	10	391	124	263	528	10	10	10	10	10	192	10	718	378	10	77	70	25	10	25	12	10	10	10	10	10	10	10	175	352	324	50	10	10	493	10	61	80	10	10	10	10	10	10	10	10	32	10	51	10	10	10	10	10	10	10	10
M34677_at	10	198	1498	670	10	347	954	721	147	490	186	824	714	10	10	683	949	302	3619	183	10	2418	10	1100	1035	10	10	54	10	142	2478	49	1235	1591	10	567	492	1412	10	338	887	760	10	501	375	3212	107	10	1650	474	197	682	321	251	1761	71	60	303	330	26	10	10	55	10	237	45	240	548	235	1519	87	1425	10	10	113	10	313
M35198_at	181	10	61	33	10	92	10	10	10	12	138	44	30	177	195	53	10	32	213	35	202	10	145	149	140	140	10	94	285	12	146	122	10	181	344	54	10	10	305	86	10	10	10	10	49	358	195	101	10	148	141	72	153	288	44	82	78	168	162	228	195	427	186	10	202	196	195	10	19	177	66	119	10	241	10	10	162
M36803_at	121	10	10	10	10	10	10	10	11	10	10	10	24	230	10	10	10	76	141	10	10	228	134	12	10	10	36	10	10	10	347	10	22	52	10	10	10	10	10	10	10	165	10	10	10	10	10	10	25	113	176	229	10	10	183	134	10	10	311	10	390	10	378	1257	186	230	10	99	10	10	143	282	64	47	72	33	87
M38690_at	90	344	79	10	10	67	31	10	66	368	10	33	323	173	97	1057	10	531	378	154	21	739	74	27	128	29	141	16	89	193	2430	676	545	417	10	490	10	10	104	20	111	48	46	35	10	404	115	10	422	232	89	509	36	10	467	110	59	1034	75	86	718	10	147	137	173	2180	24	184	173	1473	194	95	49	10	115	56	37
M54951_at	10	52	10	10	162	138	10	10	72	108	38	139	10	10	10	181	133	10	1202	178	10	10	6473	262	179	10	37	108	10	10	10	43	139	90	10	123	383	108	10	10	135	10	10	10	83	10	10	63	10	10	10	110	169	171	72	10	10	10	10	10	10	16	10	98	10	10	10	10	10	10	10	10	76	10	10	10	10
M55210_at	144	422	95	186	10	296	10	139	177	549	32	10	529	73	10	10	10	144	478	101	10	1072	263	147	575	10	10	10	217	10	853	121	10	1328	10	315	190	319	157	10	197	15	10	18	10	1030	26	68	73	154	779	10	58	175	829	10	162	14	167	10	10	10	28	10	98	87	113	68	171	325	60	85	10	10	10	10	10
M55621_at	10	776	1281	777	129	1339	463	10	459	1144	592	1139	988	10	10	10	10	10	1249	29	10	481	10	473	303	10	10	10	10	83	10	10	553	1358	10	1685	801	714	10	318	592	1175	10	992	193	60	10	10	789	520	331	10	260	10	903	10	153	678	10	10	10	10	10	10	10	10	292	10	602	321	10	191	109	10	231	10	10
M58459_at	10	3479	1570	1777	104	70	63	44	505	2648	2221	3865	108	1038	322	41	10	7295	86	4129	2222	71	10	34	61	2188	75	11	2303	852	8147	646	90	46	326	6605	3888	21	1114	663	48	5182	61	1362	39	61	234	3470	35	143	10	367	40	75	23	65	118	25	86	6165	3192	3039	4996	343	2935	9384	29	151	44	59	10	86	10	203	11	4183	159
M59371_at	10	10	10	10	10	100	194	10	158	10	285	85	10	10	10	277	10	10	10	10	10	10	93	10	10	10	10	10	10	10	668	10	173	385	10	200	29	10	10	10	10	75	359	14	10	300	10	10	28	10	10	203	260	190	263	10	223	122	96	31	10	10	10	10	10	135	10	209	115	10	10	236	112	10	10	40	10
M59488_at	192	86	10	10	16	10	113	10	10	56	140	10	156	191	319	36	189	10	140	124	37	480	10	94	98	140	280	10	359	181	142	339	168	166	66	10	10	23	570	10	233	137	263	10	17	139	120	133	10	138	29	10	10	390	10	204	103	190	109	155	741	10	158	1249	186	237	358	324	25	135	88	10	229	452	205	198	666
M59911_at	307	247	10	370	30	169	10	10	10	105	10	25	10	512	432	162	10	10	332	10	500	10	202	56	260	152	10	88	77	10	482	378	10	221	415	82	99	10	739	10	10	10	10	10	17	235	526	46	10	291	125	10	121	506	183	10	232	298	466	411	10	137	94	446	318	241	10	10	209	246	274	159	10	424	10	10	402
M59941_at	70	10	91	10	10	10	10	10	10	10	10	10	10	124	110	83	10	10	158	10	135	10	22	57	10	10	10	10	80	134	265	253	10	101	10	10	10	38	10	10	10	20	10	25	10	336	117	22	10	52	10	10	10	105	46	116	145	311	162	10	282	272	65	10	234	89	141	216	54	38	46	146	10	183	10	56	15
M60299_at	10	10	10	10	10	292	266	10	10	10	10	10	563	10	10	1249	10	10	10	510	10	722	990	10	10	10	609	10	10	231	103	10	10	10	10	10	57	57	10	10	10	558	199	10	10	1768	10	10	424	69	10	10	10	14	10	10	10	10	10	10	612	10	58	10	10	10	10	10	10	10	10	10	476	10	349	10	10
M60459_at	10	335	10	73	10	44	117	10	63	54	124	96	281	10	10	37	103	46	10	124	10	10	118	10	10	10	10	10	10	10	73	181	479	21	51	161	33	97	10	41	10	119	91	10	10	10	10	54	55	10	87	370	57	10	56	10	50	223	10	10	31	82	10	373	10	10	10	113	55	237	25	225	81	10	172	16	10
M61764_at	72	411	458	271	172	556	976	265	550	364	318	541	931	131	10	505	10	232	867	10	10	340	274	271	282	10	10	94	10	55	409	73	1084	468	179	198	628	1062	10	10	45	545	49	311	10	875	624	239	970	396	957	615	434	172	328	10	301	10	10	10	10	10	10	10	10	10	10	74	94	595	10	10	10	10	10	10	10
M61906_at	57	410	405	293	110	132	115	346	234	508	10	431	145	27	10	30	10	12	35	10	10	10	95	19	10	62	10	17	10	10	228	22	819	41	10	252	650	341	10	10	14	10	10	205	10	108	85	25	51	87	58	10	20	41	123	54	82	118	200	46	10	10	10	10	10	129	23	52	194	67	79	10	10	10	10	10	63
M61916_at	54	284	68	188	83	349	33	219	10	313	10	10	259	59	10	56	10	25	83	10	39	317	13	37	291	173	10	10	82	10	357	61	10	485	10	66	132	123	10	34	81	116	10	31	10	113	18	19	50	76	339	56	83	10	181	46	33	103	46	10	10	10	10	10	33	10	53	24	11	10	46	10	10	10	10	10	11
M62505_at	10	297	433	1364	10	926	572	623	220	138	10	359	197	10	10	10	10	10	10	10	10	135	10	10	385	10	10	10	10	10	10	10	18	490	42	451	10	1030	10	25	10	196	10	255	10	61	10	10	244	43	36	10	10	10	260	10	174	10	10	10	10	10	10	10	10	10	10	10	162	10	10	10	10	10	10	10	10
M62810_at	162	233	18	351	345	421	228	234	319	202	10	389	376	10	10	296	10	384	10	270	10	10	668	154	59	10	10	20	10	88	598	112	264	132	10	100	390	845	10	53	55	307	10	440	10	574	10	197	168	150	172	230	697	13	322	89	56	88	10	269	10	10	10	364	10	154	29	24	118	94	95	91	43	10	199	10	10
M62840_at	10	348	56	277	10	274	24	10	10	204	10	735	150	10	10	10	10	10	10	10	10	357	10	87	583	10	10	10	10	10	10	10	10	445	10	1015	67	50	10	10	184	87	10	161	10	104	10	10	187	148	10	10	10	10	157	10	218	224	10	10	10	10	10	10	10	10	10	10	10	10	10	35	84	10	10	10	10
M63488_at	275	10	19	10	50	10	10	10	10	10	10	10	975	89	10	1093	684	200	608	138	10	582	255	125	186	10	10	16	10	74	323	343	161	586	10	352	185	23	10	353	671	710	230	10	10	916	753	1183	159	286	124	287	499	311	493	10	222	147	112	147	10	10	10	10	119	243	10	144	433	879	123	350	278	10	402	95	10
M63573_at	773	870	10	2201	10	1845	725	1700	10	360	1202	2223	2290	1282	10	1093	98	1105	574	846	10	2285	1863	10	1537	10	10	10	10	10	4399	1268	1434	3373	10	2518	1658	4783	10	746	1097	10	10	2422	1065	5670	249	878	1586	391	571	10	2629	10	2959	10	575	192	10	10	10	10	10	10	10	1325	491	272	1846	1494	128	10	183	10	1862	10	10
M63582_at	209	401	289	412	405	209	10	73	10	503	10	382	10	655	108	348	220	510	399	10	375	10	94	384	229	110	10	154	514	10	537	681	10	391	10	274	272	549	317	233	10	10	10	263	10	389	386	262	10	308	289	275	346	409	261	376	217	242	752	368	10	10	10	10	495	260	120	420	360	446	327	10	10	10	10	10	495
M63835_at	162	1258	1966	672	294	1412	88	496	10	1685	10	3819	1070	1534	10	10	10	48	10	10	23	727	10	102	789	79	10	86	10	191	257	495	10	1478	425	2520	472	796	593	173	252	127	10	1059	202	67	10	358	124	135	328	194	1342	10	10	47	275	1404	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
M63904_at	10	870	719	795	550	10	985	415	397	441	437	904	28	10	10	112	54	10	985	271	10	488	163	10	38	114	10	10	10	10	10	10	639	89	10	310	332	218	250	10	10	35	10	10	31	10	10	10	10	327	187	140	150	10	98	10	147	239	10	268	10	10	10	5254	10	181	92	10	10	10	219	148	10	10	10	10	10
M63928_at	101	1483	46	365	10	546	40	346	1083	1714	617	726	1686	29	10	605	1221	10	1020	228	10	10	719	1457	1229	10	10	107	70	633	1537	10	3086	3148	10	1632	1527	773	10	10	10	121	56	894	224	4969	1101	10	2556	282	926	1427	1729	10	2061	265	495	10	1014	1759	319	10	1543	25	716	3697	47	1553	2985	3074	614	1458	1097	75	1813	808	532
M63962_rna1_at	76	79	10	10	315	53	151	10	327	284	49	245	408	10	10	245	10	183	10	10	231	10	177	102	10	140	208	62	10	132	117	10	223	10	448	10	123	21	10	10	10	67	10	143	145	84	10	10	41	85	10	325	134	41	15	138	173	10	10	88	10	10	60	10	24	293	10	140	136	225	96	10	82	10	172	230	400
M64082_at	10	472	10	65	11	325	76	62	10	454	10	10	267	10	66	10	10	156	10	10	53	10	32	10	270	10	10	10	29	10	48	12	114	508	10	61	61	137	10	10	10	275	10	75	11	10	70	10	10	38	109	10	10	13	49	10	31	10	10	10	113	10	10	1000	10	35	10	10	15	10	10	10	10	10	10	10	10
M64930_at	115	63	10	10	10	39	10	10	10	29	82	10	10	191	10	27	19	51	83	49	167	10	10	10	10	148	10	16	77	53	137	156	10	12	292	10	32	10	387	139	10	10	76	52	19	167	102	10	10	16	89	99	13	226	75	174	89	47	22	124	10	93	135	390	42	22	53	95	10	123	34	97	16	303	10	10	181
M65066_at	10	695	210	595	294	582	599	498	591	919	1078	890	675	10	20	634	322	246	10	247	10	10	10	471	83	10	128	10	157	344	501	10	2275	292	10	436	909	1007	10	150	10	555	500	792	10	109	10	52	125	78	10	210	256	10	540	188	391	325	560	10	10	71	310	10	10	10	10	247	185	183	103	285	81	10	10	10	205
M68840_at	194	64	19	10	10	10	10	10	10	53	164	32	15	50	10	10	75	10	10	107	252	10	10	10	10	163	221	76	185	87	10	10	10	10	411	10	10	16	529	15	115	10	230	39	10	10	10	10	10	96	10	10	10	10	10	225	105	10	69	26	439	407	201	154	63	10	104	138	10	10	10	118	10	163	10	125	287
M68895_rna1_at	10	200	135	101	53	10	94	31	146	263	180	115	10	29	41	10	10	10	172	10	10	42	10	168	59	10	61	159	10	10	97	10	161	10	89	31	149	163	325	10	12	10	10	101	39	234	10	132	10	38	10	288	48	10	136	12	22	33	76	419	10	10	33	10	10	31	86	222	10	170	18	10	10	10	10	18	99
M69177_at	163	238	184	152	97	46	67	327	10	175	10	198	10	191	18	95	105	100	162	17	260	219	10	164	38	240	10	43	160	10	33	10	10	10	160	132	77	174	305	102	10	10	48	62	22	335	10	52	16	80	77	115	77	102	163	10	87	10	15	122	280	10	10	10	279	240	180	149	114	10	222	76	32	227	10	10	10
M74297_at	196	19	109	140	58	146	10	28	10	12	134	146	10	110	72	109	10	60	10	10	260	35	10	318	167	10	120	78	107	10	261	260	31	211	10	13	10	10	200	92	79	10	18	10	49	342	10	221	20	157	83	361	123	138	163	179	91	85	75	179	48	10	71	10	100	109	138	10	109	109	164	107	32	10	10	10	210
M74447_at	102	10	75	85	196	133	10	448	10	10	362	10	10	406	311	128	66	48	251	21	194	10	35	71	25	10	14	10	10	162	52	95	10	631	85	266	10	116	10	114	10	218	10	10	10	267	145	146	10	65	10	97	95	162	269	160	195	177	347	10	303	10	10	10	12	146	32	190	10	215	10	338	44	47	61	78	17
M77142_at	152	116	269	85	38	222	10	106	10	113	10	256	10	18	48	131	10	130	156	10	13	10	76	118	173	66	10	31	102	10	575	101	10	166	10	152	492	142	151	79	10	10	10	48	75	395	122	114	10	178	125	583	102	96	362	84	124	71	307	154	10	10	10	10	134	202	30	59	240	201	266	432	152	10	10	10	123
M80359_at	201	897	471	745	692	931	897	699	85	900	959	748	776	761	10	129	162	107	10	125	10	10	19	115	10	62	120	22	10	10	222	10	1565	370	10	322	888	1631	224	148	131	229	10	1005	10	10	10	10	109	276	32	376	10	10	604	10	238	147	337	131	10	10	138	10	10	66	130	397	100	422	197	197	218	10	296	27	10
M81758_at	409	10	469	10	10	10	10	10	28	10	10	10	10	618	10	334	325	163	202	64	10	345	77	204	574	12	67	549	10	73	10	10	10	10	179	372	10	170	491	209	113	10	259	10	466	264	10	615	43	272	685	651	226	600	81	274	118	372	183	140	10	10	10	10	10	188	10	10	304	325	18	281	32	10	10	24	10
M81780_cds3_at	10	129	10	57	10	10	11	125	55	10	214	10	88	106	28	65	138	10	10	92	10	167	10	15	61	10	114	123	75	170	86	74	188	85	94	105	10	10	10	10	157	18	198	10	10	60	187	41	81	25	64	68	35	251	144	14	82	146	86	10	251	93	35	442	10	22	10	170	25	47	34	10	86	10	207	95	47
M81933_at	138	10	42	170	31	10	10	203	200	10	120	21	306	182	152	315	245	234	10	79	10	292	151	10	172	10	96	10	10	225	301	52	122	279	240	332	144	254	66	114	366	203	266	62	10	111	10	81	206	10	62	236	19	263	227	10	170	187	10	141	10	10	117	193	10	10	10	69	78	136	207	53	173	10	189	22	10
M83186_at	274	7584	143	111	10	275	707	351	236	7434	316	88	24	10	10	90	10	10	391	10	45	258	106	10	87	10	10	116	10	18	51	495	10	308	240	357	10	10	311	10	10	10	10	52	45	376	10	10	536	10	219	10	151	10	77	10	78	10	10	10	10	10	10	167	77	226	13	301	94	120	672	236	119	10	218	115	10
M83233_at	10	10	10	87	106	53	10	239	14	10	10	127	99	10	10	22	50	262	156	72	10	166	82	81	167	10	10	10	36	10	196	10	126	239	10	35	181	77	10	10	10	60	10	139	79	793	10	82	17	47	10	283	114	108	393	10	10	133	82	10	10	10	10	10	10	130	10	10	194	57	162	35	91	10	94	10	10
M83738_at	12	451	166	366	290	267	10	179	10	253	285	59	10	10	10	10	10	10	68	10	10	10	10	10	10	10	10	10	109	10	10	10	119	52	10	10	419	10	160	48	10	10	10	181	10	386	10	10	10	10	77	271	10	10	22	88	10	10	361	10	10	10	10	10	215	10	160	10	25	65	95	170	10	63	10	10	10
M83822_at	232	300	1382	89	750	257	63	65	173	258	46	186	466	10	10	368	10	22	145	10	10	325	256	153	380	10	10	20	10	196	507	111	698	381	10	236	546	402	10	10	130	373	10	205	54	868	197	253	75	10	684	354	79	13	223	10	23	68	367	57	10	10	61	10	35	377	70	58	506	245	146	723	259	10	209	142	10
M84526_at	117	353	10	182	10	95	149	10	201	525	10	269	363	355	79	251	12	10	10	10	10	10	10	10	87	10	10	120	10	263	180	10	10	624	56	578	40	101	10	100	10	113	12	139	10	10	10	10	132	98	605	10	374	10	280	10	151	42	10	160	10	10	19	10	10	10	10	10	10	10	591	10	53	10	84	49	10
M86406_at	10	209	10	35	182	105	117	133	113	116	529	23	28	10	10	134	58	81	88	10	10	261	137	34	224	198	10	236	10	10	307	10	201	108	10	131	129	216	10	99	43	10	10	167	135	301	72	97	29	158	134	65	10	10	10	212	141	47	167	338	10	316	161	10	33	10	161	10	84	148	10	10	91	10	100	10	27
M87338_at	203	93	10	10	10	53	10	10	10	98	10	114	318	10	10	133	105	190	94	10	186	243	304	46	10	10	10	29	123	10	226	13	25	113	113	10	209	131	194	30	26	51	27	10	125	330	89	103	142	160	109	201	184	83	130	54	10	16	15	358	87	300	10	10	16	117	27	10	10	10	10	47	10	65	61	10	10
M87860_at	26	818	648	551	10	1697	531	10	492	814	10	1841	1217	10	87	10	441	329	10	139	10	10	126	583	695	54	10	10	10	526	10	10	10	1750	10	748	405	425	10	47	297	97	118	557	152	306	10	10	202	55	10	10	124	10	10	680	793	448	10	167	10	10	279	10	10	491	251	10	134	10	105	973	864	10	830	299	22
M88282_at	51	13	15	242	45	23	10	32	10	124	55	259	10	10	10	30	10	10	72	10	29	28	115	209	156	87	10	146	10	10	57	10	10	129	10	58	255	171	520	58	10	10	10	183	10	222	159	58	10	121	140	10	20	10	45	30	56	36	146	10	10	278	10	10	95	87	104	52	10	10	50	196	10	55	10	10	65
M88338_at	334	98	10	10	10	10	10	10	10	208	10	10	10	761	754	437	10	10	10	10	359	10	10	189	93	10	10	10	61	10	196	63	10	602	316	422	55	10	579	55	10	102	410	18	10	10	10	10	24	185	10	10	192	189	639	384	10	285	10	359	10	10	75	10	10	123	10	205	447	73	10	10	281	10	200	10	32
M91438_at	371	844	1519	79	13	109	49	119	190	1123	10	71	753	69	105	2734	10	404	264	200	330	1364	10	107	68	307	1537	10	10	10	10	10	1531	565	33	215	267	10	317	318	10	10	326	83	159	118	52	68	10	1388	13	1210	32	10	276	1514	119	155	12	128	10	10	18	10	142	568	149	1026	1639	227	62	92	67	10	121	84	245
M94077_at	10	216	358	10	10	286	81	269	90	245	10	212	10	10	10	70	10	10	442	10	10	10	205	10	101	10	10	10	10	10	47	10	164	43	10	10	116	348	10	10	10	10	10	65	10	799	10	10	10	10	267	111	114	10	23	10	10	10	10	10	10	10	10	3056	10	281	201	10	10	10	42	10	10	10	10	10	22
M94250_at	10	191	10	243	85	10	212	10	256	334	10	56	216	1084	10	37	236	10	10	35	10	374	10	95	150	10	10	10	10	10	169	143	181	91	10	66	19	10	10	31	10	81	45	191	10	10	10	10	33	18	10	10	64	379	117	92	55	436	243	56	324	10	82	10	131	10	10	131	10	94	10	10	251	29	181	10	10
M95929_at	10	429	10	380	10	140	260	10	107	669	10	358	532	10	10	10	10	233	10	10	13	592	162	10	185	10	10	10	430	124	62	10	10	392	10	651	160	65	142	10	351	452	10	293	10	681	10	23	133	10	498	10	174	10	464	10	164	541	58	10	10	10	10	10	10	10	10	90	229	10	10	118	332	10	387	10	10
M96684_at	12	75	10	190	26	201	42	212	10	10	101	128	498	10	10	10	75	10	10	10	10	10	10	10	10	10	10	10	10	10	78	10	257	75	10	13	119	498	10	171	239	322	10	231	10	10	10	10	16	10	10	10	10	10	320	10	10	10	10	10	10	10	10	10	10	78	10	473	165	427	268	10	330	10	629	30	152
M97496_at	284	63	38	10	10	10	10	10	10	161	10	10	10	313	10	139	10	10	367	97	359	153	50	269	10	10	10	255	10	136	441	362	10	219	236	10	10	10	599	102	147	123	342	85	14	428	10	22	111	89	125	161	12	259	50	324	142	102	260	358	10	10	398	4374	142	282	10	10	292	269	10	299	124	237	99	85	10
M97936_at	848	7205	7331	5518	1784	6259	655	1575	1325	7016	1302	9790	4788	4632	218	165	1190	934	225	531	10	4716	946	2295	3469	349	10	233	10	1422	1262	1118	863	3811	911	5206	8014	3692	3233	507	1802	1635	154	4906	745	2641	10	986	538	1844	1167	10	1648	10	5187	950	1979	7405	180	10	10	10	19	10	1121	440	623	236	50	457	10	271	616	149	1107	521	10
M98343_at	114	379	162	10	10	10	10	10	10	556	10	10	371	200	10	10	39	10	1101	10	10	600	10	10	10	10	10	10	10	32	339	10	469	805	10	141	10	154	58	10	10	10	10	36	10	10	10	10	10	163	10	10	10	10	153	10	184	209	249	124	66	10	28	10	176	10	10	288	10	10	39	444	43	10	21	105	46
S50223_at	10	73	312	309	453	170	94	385	172	351	489	189	53	10	10	168	133	187	34	10	10	91	85	131	31	10	10	10	10	200	352	209	361	119	10	188	401	600	10	148	34	47	10	386	49	51	40	229	14	86	71	10	99	145	355	51	59	207	81	10	10	10	10	10	71	286	97	10	118	197	170	10	110	10	500	39	10
S57235_at	10	1760	10	487	10	821	1546	10	283	1916	10	1947	479	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1009	10	177	10	10	10	40	10	1348	10	10	10	10	173	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
