	GSM92240	GSM92241	GSM92242	GSM92243	GSM92244	GSM92245	GSM92246	GSM92247	GSM92248	GSM92249	GSM92250	GSM92251	GSM92252	GSM92253	GSM92254	GSM92255	GSM92256	GSM92257	GSM92258	GSM92259	GSM92260	GSM92261	GSM92262	GSM92263	GSM92264	GSM92265	GSM92266	GSM92267	GSM92268	GSM92269	GSM92270	GSM92271	GSM92272	GSM92273	GSM92274	GSM92275	GSM92276
204361_s_at	25.8	33.3	39.7	50.9	26.3	37.3	38.9	10	10	36.9	23.8	20.6	26.1	36.3	26.3	10	41.2	21.6	17.7	70.8	24.2	15.4	23.5	10	23.4	25	12.9	44.1	29.6	21.4	23.5	53.3	39	23.9	19.4	10	43.5
204363_at	227.4	102.6	132	245.6	196.5	85.1	33.5	54.2	115.9	43.9	113.3	10	69.5	447.6	102.9	60.5	88.9	16.7	75.5	226.7	96.1	119	24	84.7	82.8	10	107.1	146.2	11.3	137.1	334.3	72.6	150.4	96.5	53.3	20.2	90.4
204364_s_at	21	19.5	33.4	10	42.7	35.3	106.1	27.5	43.7	156.5	32.6	201.2	46.8	18.1	25.3	45.7	37.6	64.4	140.9	16.3	46.5	31.8	47.7	60	25.4	51.2	10	19.2	30.7	22.1	13.8	22.5	158.5	10.5	152.3	262.8	126.1
204379_s_at	53.4	108.1	10	49.2	35.9	10	11.1	157.9	282.8	20.5	10	10	122.9	10	179.8	123.5	111.1	10	302.5	124.9	127.8	289.5	146.7	130.8	58.7	176.1	10	10	10	43	99.5	57.9	77.2	24	170.9	98.6	78.5
204381_at	10	44.3	10	13.1	20.3	14	57.7	44.5	20.6	39.8	15.1	53.6	54.2	10	10	32.7	12.8	34.4	24.7	10	34.3	22.1	12.6	10	33.3	104.5	20.8	10	12.3	11.9	11.8	24.9	10	49.4	32	52.7	20.4
204395_s_at	60.2	34	70	80.5	106.5	85.1	16.9	24.4	59.7	37.6	77.9	67.6	24.4	81.4	65.1	61.1	78.3	55.1	80.9	78	65.1	10	130.5	51.5	106	70.9	76.7	58	66.9	87.9	99.1	58.2	72.8	98.3	15.8	67.1	111.5
204397_at	10	12.1	10	10.3	72.4	50.5	34	11.8	16.7	18.3	50.1	15.2	15.9	45.5	55.9	10	15.6	28.2	38	67.3	72.6	10	80.1	45.4	42.6	10	88	41.9	34.7	56.1	63.8	13.6	37.1	11.1	13.1	25.7	41
204411_at	11.4	34.7	32.6	31.2	10	13.1	16.6	10	180.2	148.6	10	22	16.5	41.7	10	14.7	13.7	18.6	10	24.6	10	10	11.4	10	10	32.3	13.2	10	10.2	10	10	10	15	10.2	10	14	89.6
204413_at	11.6	17.7	16.4	36	10.7	10	10	10.2	21.6	46.1	31.5	10	17.6	51.8	36.1	10.6	10	11.4	34.8	37.5	34.6	26.7	62.9	28.8	44.2	11.3	30.5	21.8	52.8	58.3	45.9	10	10	19.9	26.3	15.6	12.3
204415_at	216.4	473.5	161	59.9	72.7	389.7	149.5	107.3	42.4	10	51.4	162.5	194.8	24.9	53.8	113.6	50.8	93.4	37	151.9	24.5	132.6	33.9	94.2	72.7	151.7	249.4	41.2	49.5	25.4	259	130	141.5	118	63	180.7	157
204416_x_at	55.5	116.3	93.9	16.3	109.9	213.5	254.4	12.9	13.4	10	10	18.9	10	10	157.8	56	10.6	150.3	10.1	10	10	10	514.1	10	197.2	65.4	344.2	25.6	14.1	69.3	56.3	10	102.3	106.1	161	96	15
204417_at	248.8	65.6	163.1	64.6	64.9	127.4	194.1	114	187.2	53.5	70.7	339.1	114.7	132.9	79.8	24	110.4	76.4	119.3	129.7	73.9	54.5	112.1	217.5	110.7	340.6	50.5	840.6	48.3	136.6	158.3	68.4	196.7	20.5	66.4	200.9	62.2
204420_at	77.6	96.6	85.8	80.6	64.6	20.3	44.9	21.4	10	59.8	34.8	112.2	100.5	225.9	37.6	10.7	28.6	19.7	12	10	46.4	11.6	24.8	43	52.3	53.3	104.5	10.7	92.7	85.6	38.3	13.6	63.1	85.3	35.8	13.8	87.1
204425_at	59.9	15.8	46.6	30.2	69.8	55.4	18.4	55.2	95.5	10	33.2	67.8	10	42.8	32.5	10	26.7	78.8	32.8	13.4	55.1	10	10	10	61.4	23.9	61.1	10	10	73.7	10.5	56.1	10	10	16.1	19.1	16.8
204433_s_at	20.8	55.3	82.4	24.7	10	32.3	17.7	77.6	139.1	104.4	18.5	50.5	146.5	185.6	32.1	145.3	13.6	29.1	100.8	50.6	84.9	124.7	10	194.5	83.2	169.8	74.3	31.8	51.7	90.8	24	213.5	58	38.2	92.2	126.7	115.1
204436_at	165.5	175.2	116.7	22.7	188.4	140.2	217.9	143.7	138.3	116	21.2	32.7	118.2	77	132.1	126.5	86.6	109.2	87.8	35.9	169.1	131	39.1	100.8	149.1	191.6	185.8	32	123.1	110.8	74.3	105.6	154.6	144	166.8	144.6	29.2
204439_at	149.6	40.3	10	10	10	309.6	10	22.8	10	10	10	14.9	69.7	11.8	10	10	10	10	10	10	10	19	10	10	10	10	32	10	13.6	10	10	62.4	45.2	10	43.6	38.1	10
204446_s_at	159.1	80.3	306.8	289	58.6	254.6	307.6	194.5	29	39.4	52.1	104.9	52.2	249.3	135.7	73.3	214.2	84.2	30.8	31.1	47.7	108	97.9	58.1	359.7	71.1	62.9	167.5	39.1	62	107.5	59.3	118.7	102.6	62.9	68.6	36.8
204452_s_at	45.1	23.6	44.6	33.4	19.5	41.8	14.4	28.3	34.3	35.3	18.5	55.4	35.3	20.6	15.7	39.4	36.8	36.6	17.6	10	19.9	28.3	24.6	16.2	10	43.9	10	43	10	14.8	10	29.7	28.4	37.7	14.5	34.7	10.7
204457_s_at	59.8	73	76.3	10	10	88.5	65	11.1	10	24.4	48.5	13.6	15.8	10	13.8	10	10	15.7	42.6	10	10	10	10	10	52	13.2	10	10	10	10	10	10	51.6	10	13.8	52.9	49.2
204462_s_at	55.4	10	32.5	39.1	35.3	63.8	92.3	42.4	70.5	45.1	49.4	97.4	10	23.1	27.8	47.1	29.3	72.7	46.8	42.7	49.9	48.6	56	28.3	25.9	45.7	36.5	217	58.4	18.1	44.7	69	69	73.6	12.9	63.4	49.6
204463_s_at	26.4	30	78.8	19.5	14.5	104.7	94.9	54	17.2	46.6	53.4	12.8	35.7	43.5	28.3	39.5	10	28	69.5	10	111.5	10	16.1	16.7	57.9	50.4	18.1	10	21.2	10	10.7	123.1	91.2	30.4	80.3	70.1	25.2
204470_at	511.4	278.8	180.7	198.2	847.5	314.7	126.6	277.1	225.7	215.7	128.2	31.1	97.9	674.5	107.2	257.2	126.3	173.3	44.5	127.7	146.4	819.9	183.6	519.9	150.6	180.1	421.8	143.6	94.7	359.1	156	491.6	208.7	53.5	50.7	83.7	162.6
204475_at	799.3	159.9	1138.3	23.5	490.1	112.3	50.5	47.2	38.8	114.9	10	11.9	13.5	73.6	256.6	12.2	15.8	103.4	35.7	27.2	88.3	25.4	24	28.8	46.5	91.2	66.7	12.1	32.3	86.4	121.8	116.7	135.1	10	10	38	154.5
204476_s_at	32	29.4	10	17.7	10	53.7	60.7	10	12.7	41.7	21.8	12.2	10.4	17.8	44.1	33.7	10	70	48.2	10	10	10.4	10.6	29.7	10	53.1	10	14	42	16.6	41.5	24.9	30.1	35.1	37.4	10	27.2
204487_s_at	133.3	202.5	137.9	13.6	316.6	221.9	63.4	160.2	430.9	254.4	100.4	419.1	323.3	95.1	234.5	107.2	149.5	222.8	115.5	86.2	50.6	174.4	101	71.7	297.9	221.7	241.7	88.2	93.1	328.1	40.1	162.6	165.9	114.2	589.1	317.4	367.6
204497_at	16.1	37.7	45	43.4	50.2	120.9	10	14	13.5	10.2	37.1	10	52.1	10	83.8	42.4	10	13.8	44.7	27.9	24.5	10	10	29.5	41	23.1	34.1	15.6	26.4	19.6	37.7	10	26.4	10	35.3	24.7	34.3
204502_at	40.8	52.9	25.4	10	42.6	62.5	61.7	29.3	72.4	21.8	10	11.8	45.1	14.7	10	30.5	24.9	19	15.8	29.5	24.4	45.5	11	15.2	26.7	11.8	107.5	22.1	15	28.2	43.2	62.4	79.5	17	43.8	36.4	19.7
204508_s_at	86	10	10	10	84.8	10	54.4	10	137.8	16.9	10	29.1	85	82.9	10	10	214.3	152.2	102.9	75.8	14.1	56.2	154	51.6	46.4	12.9	10	10	10	91.3	87.1	14.9	58.9	10	35.6	32.2	58.1
204513_s_at	18.9	51.9	45.2	46.5	26.2	11.7	76.8	35.1	12.7	38.1	56.2	122.1	66	10	18.6	20.4	47.4	51	24.4	11.3	31.5	48.2	10	53.7	25.7	26.5	10	50.4	33.8	33	10.8	25.8	46	55	28.6	64.9	40.6
204529_s_at	20.2	24.1	48	62.7	20.2	13.2	46.3	22.6	16.7	16.3	10	32.4	10	11.5	28.7	20.3	35	26.6	44.6	97.7	28.8	14.8	45.2	23.6	20.5	31.4	40.6	65.9	14.3	13.9	107.5	40	19.2	11.2	24.6	22.4	18
204534_at	10	37.3	38.4	16.6	10	50.8	19.7	35.1	40.2	65.2	30.9	66.4	11.6	10	25.7	31.4	48.6	35.3	10.6	11	31.5	23.1	35.7	10	25.9	66.3	10	21.3	24.6	10	10.1	48.4	12	45.6	35	42.1	16.2
204545_at	10	10	10	50.6	10	113.9	10	46.3	10	10	10	21.5	10	10	24	10	44.2	10	14.5	150.8	10	10	10	30.9	10	10	10	10	10.2	12.6	10	10	205.1	29.8	63.5	95.1	10
204546_at	45.3	40.2	62	12.7	15.8	45.4	75	62.1	25.8	15	57.3	19.6	16.8	10	13.6	79.7	75	80.9	32.7	68.5	61.2	66.1	60.3	62.6	63.2	12.8	17.2	10	28.9	19.6	33.5	36.8	38.2	85.9	55.9	54	28.9
204554_at	34.9	47.3	39.5	51.6	38.6	41.4	12.3	64.3	110.7	80.2	60.2	10.7	87.8	64.6	41.6	56.4	48.9	58.6	50.9	10	50.4	74.5	11.7	92.9	37.3	75.7	39.2	51.5	54.2	53.2	17.4	60.3	60.3	57.6	59.5	74.3	70
204555_s_at	33.1	31.3	20.8	35.4	53.6	16	39.8	42.1	57.4	10.1	10	21.4	55.7	11.1	35	14.8	58	13	38.6	11.6	33.8	52.4	10	35.1	39.5	16	10	10	29.6	10	10	37.4	23.5	15.3	29.2	32	14
204558_at	55.9	56.1	13.1	10.4	29.5	61.6	23.7	14.9	41.9	10	27.8	13.3	10.8	53.6	10	42.9	27.2	10.7	44.3	10	38.8	37.2	13.6	37.1	63.1	14.8	25.3	10	42.8	39.2	10.8	13.8	19.2	41.4	16	22.1	18.5
204561_x_at	29.1	14.1	18.9	39.5	50.7	18.7	10	10.7	144.4	148.3	16	118	20.1	10	14.1	17.8	18.4	25.1	12.9	11.9	12.2	23.2	19.1	10	44.9	254.7	88.1	21.9	19.2	27.1	35.3	10	48	23.4	131	20.9	22.7
204570_at	10	20.2	38.5	16.3	63.5	91.3	71	22.7	10	10	31.5	10	10	11	82	27	10	29.2	85.7	10	61.8	10	10	21.3	66.3	10	10	10	35.7	19.8	33.1	10	42	22.1	34.4	28.6	39.3
204575_s_at	36.2	95.8	29.6	42.8	45.4	64.3	59.8	10	10	30.9	10	62.8	27.4	10	29.5	10	10.6	19.8	10	10	22	17.3	10.2	10	39.1	10	63.8	80.5	10	10.6	17.9	10	80.8	26.3	39.8	44.3	45.9
204578_at	10.1	57.3	50	10	10	70.2	18.6	11.5	42.6	37.9	35	26	30.2	63.1	36.8	37.1	36.9	10	37.3	40.6	59.3	86.6	10.6	10	38.8	35.6	54.9	54	86.2	79.1	41.9	27.1	34.9	10	21.8	14.7	26.9
204580_at	836	131.8	143.7	95.2	427.4	133.1	93.8	165.5	112.9	93.4	52.8	91.4	136.8	238.3	81.4	314.7	95	397.3	96.9	106.3	107.9	126.2	352.3	90	358	247	68.2	122.5	51.9	493	263.4	166.2	466.9	46.9	141.5	165.3	59.2
204584_at	10	26.8	10	10	23.9	10	10	10	10	10	10	95.8	59	40.8	70.8	10	10	10.2	56.6	10	10	10	49.4	34.9	10	367.5	11.8	61	45	10	23.3	10	10	10	10	10	82.8
204598_at	10	56.9	44.5	10.6	96.1	66.6	14.5	31.3	78.4	44.4	71.4	29.5	22.6	35.3	83	10	80.5	45.8	59.5	80.5	82.9	54.1	79.6	71.4	104.8	81.2	11.4	44.5	67.2	80.4	61.8	66.1	71.7	44.2	19	52.8	43.2
204600_at	81.1	272.4	72.8	53.3	84.6	69.5	53.6	59.6	147.7	282.7	384.3	43.5	257.1	44.5	159	501.2	296.2	177.1	474.2	205.1	317.6	253.6	360	122.1	73	41.4	292.8	96.6	106	143.8	341.6	89	199.7	74.8	504.5	86.1	184.9
204601_at	38.4	29	31.4	10	60.9	13.2	32.1	40.7	28.9	12.3	44.1	29.3	37.6	31.9	33.8	50.6	27.3	49.4	10	29.3	60.7	35.2	10	59	28.2	62.8	45.5	18.5	37	11.2	30.9	25.5	35	98.9	10	37.6	13.3
204606_at	16.1	28.8	49.4	14.4	10	67.5	35.8	59.6	10	10	20.6	25.3	50	21.4	60.1	10	10.5	16.1	22.5	10	10	10	32.3	55.8	47.1	22.4	10	30.5	29.9	25	48.9	25.4	46.8	28.9	36.2	50.4	10
204607_at	123.3	65.2	54.7	18.3	60.3	311.6	1668.4	10	263	97.5	60.8	1146.2	10.1	83.4	245.7	119.2	1133.7	202.1	577.2	16.4	476.8	296.2	275	104.5	92.7	185.9	10	793.5	10.7	10	184.7	163.2	1250.8	719.4	690.9	642.1	85.1
204612_at	44.2	39.3	47.7	32.5	18.1	14.2	51.1	127.6	32.9	50.7	10	79.3	62.9	10	24.8	49.5	15.1	13	10	10	10	24.3	51.8	57.5	32.9	61.5	10	10	64.3	22.7	10	100.1	13.8	10.4	29.6	34.4	43.8
204617_s_at	114.3	68.5	71.3	46.6	79.6	52	15.3	99.2	51	68.8	100.3	13.9	71.4	52.9	17.6	95	20	81.2	77.3	69.8	79.6	75.3	67.7	114.1	44.6	106.4	74.7	10	135.6	130.6	69.6	135.7	14.6	83.9	108.9	32.1	76.9
204619_s_at	81.1	67.2	124.8	31.5	69.1	103.1	294.8	78.5	18.6	25.8	55.3	24.6	79.8	23.7	125	37.7	17.8	36.8	63.4	12.8	130.2	24.1	56.8	69.7	84.6	95.5	63.2	43.8	65.1	36	50.9	17.1	77.4	39.2	59.1	74.7	82.6
204620_s_at	649.7	510.7	691.9	131.4	740.3	741.5	977.5	421.8	108.1	130.4	401.5	33.1	255.8	99	761.5	169.4	46.9	254.9	396.3	119.2	757.2	120.6	245	257.9	436.9	463.9	151.6	116	401.6	435.6	299.2	177.2	597.1	369.1	509	553.3	569.2
204621_s_at	17.6	141	37	211.9	28.5	41.9	17.3	28.8	26.9	14.4	36.9	10	10	20.4	59.4	10	110.1	40.7	50.3	117.3	35.4	10	102.6	72.6	32	10	136.3	51.5	13.5	25.2	84.3	10	81.1	27.4	17.2	20.6	45.3
204623_at	1815.9	2772.9	2632	1951.5	1536.5	591.3	153.3	1371.8	570.9	593.3	1743.4	755.2	661.7	837.7	1336.6	1442.1	3602.9	1146.8	2615.6	4635	960.4	342.2	2303.9	1365.8	338.9	1217.8	1563.7	234	974.9	443.2	5444.5	1220.3	266.6	251	1005.1	1365.2	992.6
204626_s_at	29.9	10	32.6	28.9	10	20.5	51	30.1	11.7	28.2	48.4	42.9	41.4	36.3	35.9	29.9	51.8	43.3	39.1	54.7	51.7	42.4	69.8	24.9	45.7	10.6	12.4	81.8	55	13.6	66.8	38.6	12.8	29.3	58.2	13.4	69.4
204636_at	44.9	10	88.8	249	75.2	87	10	11.6	79	31.9	43.4	139.4	10	64.6	23.5	10	49.3	178.7	13.4	53.7	12.5	47.5	46.2	10	107.1	10	10.1	75.2	95	81.2	23.7	11.1	25.9	147	10	21.9	104.5
204653_at	57.7	111.9	46.2	230.9	81.8	33.8	10	29.6	33.2	33.8	29.9	54.4	40.6	134.5	42.7	18.1	39.2	66	39.7	222.6	21.5	25.3	69.1	38.4	40.7	25.6	75.6	110.2	52.5	22.2	109.1	32.5	33.2	55.1	33.2	33.5	10.5
204654_s_at	11	27.9	14.3	74.7	36.5	12.3	10	10	10	10	22.3	20	16.2	48.7	26.3	15.3	35.5	16.3	19.3	86.2	25.1	10	25.5	13.9	10	12.5	37.9	72.7	27.7	32.5	42.3	30.9	16.3	21.7	21.8	21.3	24.8
204673_at	2588.4	758.5	1927	4639.1	1209.3	94.4	47.3	259.5	50.5	88.3	63.9	62.2	104.8	44.6	162.9	150.5	1270.6	378.6	97	3633.6	106.9	24.5	143.8	144.4	113.9	50.5	127.8	277.7	41.6	1441.4	4304.1	379.5	40.4	103.6	14.7	27.4	143.2
204678_s_at	55.4	129.5	183.4	365.4	116.7	44.7	62.4	31.6	40	38.3	62.9	49.1	10	117.2	37.9	20.5	69.9	44.7	10	126	10	64.5	15.7	45.6	72.9	10	65.5	208	45.9	60.2	76.1	39.4	24.9	55.2	28.1	28.6	16.8
204697_s_at	63.2	76.6	38.4	26.5	291.5	45.1	44.2	12.7	54	45.8	25.1	158.1	62	17.3	45.4	29.3	36	41.8	26.6	10	43.8	45.4	63.9	21.1	23.4	196.2	14.9	42.2	10	39.3	59.3	82.1	18.7	39.6	26.3	29.3	41.8
204705_x_at	70.3	56.3	10	59	155.7	10	10	10	62	10	77	12.5	12.1	34.4	10	10	13.6	10.5	10	750.4	10	13	46.8	10	25.2	34.9	33.4	13.4	256.7	10	10	76.6	10	10	13.2	78.3	298.1
204713_s_at	129.9	10	184.5	367.9	133.1	25.3	73	10	33.8	66.9	42.4	42.9	28.4	42.6	138	39.1	57.1	40.4	69.9	39.2	45.7	12.2	61.1	48.4	302.6	34.7	99.4	64.3	55.2	63.8	41.7	50	36.1	119.1	65.4	10	50.2
204714_s_at	80.7	11.6	117.3	365.7	62	20.1	39	15.1	27.8	20.4	21.7	10	10	17.1	62.8	10.4	13.7	26.9	24.2	17.9	22.5	19.5	32.9	10.1	99.1	10	72.3	26.5	31.4	80.9	21.4	19.7	21.7	82.2	24.1	14.4	22.5
204724_s_at	10	22.8	10	44.6	10	10	10	10	62.1	10	10	50.6	67.5	10	68.7	10	10	10	233.9	10	10	10	10	12.5	10	36.1	10	10	10	10	10	10	10	183.6	10	77.6	32.7
204730_at	62.4	52.3	16.9	38.4	16.9	39.5	21.7	20.4	24.5	10	36	19.6	10	65.8	10	16.5	33.1	58.6	33.4	77.2	26.8	23.4	58.6	14.2	60.6	20.4	18.5	10	36.5	28	58.4	24.2	25.8	14.6	29	20	10
204748_at	37.4	55.4	30.3	67.5	63.9	16.4	42.3	14.5	12.7	40.9	14.2	25.5	10	34.8	17.9	15.2	10	13.8	20.1	29.6	25.4	12.4	17.2	26.1	13.7	10	40.1	108.4	14.8	44.2	30.4	16.2	27.5	10	10	11	22.5
204750_s_at	40.8	23	23.6	31.3	73	10.8	13	66	10	55.1	31.2	32.7	10	26.7	41.5	11.2	30.1	22.3	26	21.3	55.9	10	45.7	50.3	56.1	10	47.3	25.8	26.6	29.2	15.6	46.6	10	10	10	21.7	27.9
204757_s_at	82.1	46.6	20.3	106.1	33	52.8	76.7	23.1	57.5	53.2	86.8	19.1	50.4	95.1	80.5	31.7	13.1	16.2	60.1	74.2	102.3	10	24	85.7	101.8	32.6	105.3	100.1	111.2	84	59.6	59.4	13.2	10	50.1	16	109.6
204783_at	10	10	25	38.8	10	41	89.6	35.8	37.5	52.5	56.1	23.7	42.6	26.1	15	14.4	32.1	10	18.3	10	47	32.9	21.9	66.5	10.4	38.9	21.3	79.9	20.4	37.4	16.3	40.3	13.4	14.8	23.1	56	45.9
204784_s_at	22.7	12.6	36.2	67.9	10	54.5	259.1	59.7	31.7	35.9	65.8	16.5	10	10	18.6	10	20.9	10	10	10.2	55.5	104.9	23.8	82.1	36.2	57	14.4	79.6	14.7	69.5	10	54.1	16.6	42.2	10	59.4	59.2
204811_s_at	26.2	15.7	24.4	30.7	26.8	56.1	55.1	21.9	24.5	26.4	32.8	10	11.9	16	42.7	35.2	101.1	25.6	79.9	86.8	61	10	76.2	10	40.9	104	11.7	22.3	19.7	17.8	55.9	35.5	14.3	20.1	40.5	46.7	27.6
204818_at	358.2	141.4	305.5	334.5	195.9	228.7	33.7	77.7	14	19.7	21.1	121.9	12.2	35.2	137	17.7	83.7	33.4	74.6	149.8	91	10.5	56.8	23.1	117.3	24.6	10	313.8	11.7	140.1	67.4	16.7	38.8	126.4	38.4	61.3	29.5
204821_at	42.1	13.3	43	31	48.4	24.9	15.3	25.6	12.1	10	55	13.2	10	31.6	10	28.5	36.6	23.2	24.5	40.2	15.8	23.7	10	27	27	13.9	40.6	43.8	12.3	35.1	70.7	23.1	51.6	23.8	14.5	45.7	10
204824_at	67.2	15.3	66.1	58.6	10	43.9	11.6	37.4	10	67.1	31.3	67.2	18.4	10	26.1	67.9	15.8	73.5	43.1	70.8	55.1	33	10	55	48.5	10	94.1	10	87.3	60.8	129.1	26.2	20.9	34.4	10	17.9	43.6
204829_s_at	75.1	74.1	76.3	86.4	40	18.1	114.5	92.7	36.1	26.7	24.7	90.2	41.5	12.6	12.5	53.5	27.7	110.9	16	17.5	43.4	47.8	30.1	35.4	33.9	97.4	84.6	54.3	26.6	42.6	60.4	18.6	69.9	111.4	45.1	87	36.6
204830_x_at	18.8	23	42.2	102.4	10	50.2	10.3	10.1	55.5	13.6	35.4	89.9	46.8	10.6	22.5	27.8	11.2	68.1	21.5	28.7	24.7	48	47.4	11.7	10	79.7	10	40.7	11.9	10	10	53.5	37.2	38	63.8	67.1	10.1
204836_at	24.8	25.5	10.1	53.7	20.4	20.4	32	10	36	69	10	70.4	56.8	22	28.3	46.3	48.9	38.6	12	14.8	12.6	14.8	15.8	21.1	15.4	216.2	45.5	18.2	12.5	10	10	11.6	12.2	130.7	18.4	37	25.8
204849_at	36.8	75.1	93.9	147.1	49.1	133	58.7	65.5	194.6	245.8	71.4	124	312.3	161.7	109.9	142.9	11.7	94.7	92.9	64.9	159.8	70.6	13.7	142.4	73.1	140.1	33.4	41.6	128.2	105.3	24	155.8	137	126.8	122.5	204.4	206.7
204854_at	18.9	30.8	19	37.9	10	43.4	16.9	31.8	24.8	10	10	34.8	30.8	20.7	22.3	29.1	39.5	16.7	26.4	22.6	37.4	26.5	27.5	24.1	33.8	10	72.6	18.2	10	10	26	31.9	24.2	28.8	48	34.1	34.3
204855_at	538.1	986	308.5	1427.8	135.4	198	216.9	179.5	91.9	154	154.9	390.2	28.4	1108.7	415.4	37.1	39.3	62.5	68.7	230.1	30.2	103	246	137.9	229.8	28.6	396.1	681.5	201.8	109	492	56.8	37.6	286.6	10	65.3	229
204857_at	15.4	21.7	64.1	297.9	26.4	20	10	18.8	37.8	59.2	12.7	36.7	25.4	44	23.3	19.5	10	20.2	28	15.5	35.8	29.1	10	20.6	44.1	26.8	23.2	16.2	13.6	51.4	39.5	36.6	17.8	49.1	40.9	48	12.4
204861_s_at	10	25.7	10	10	50.5	10	10	10	29.8	10	38	10	17.9	24.9	10	33.1	10	10	27.2	43.9	25.4	36.8	69.6	27.2	33.7	28.9	17.9	58.9	31.9	30.6	49	47.7	40.5	10	10	33.9	18.6
204862_s_at	52.4	53.4	29	17.5	68.7	97.7	16.2	60.1	22.3	12.3	12.7	71.7	72.6	15.3	10	79.9	12.3	67.7	53.9	91.5	51.6	120.8	17.4	75.1	82.2	57.3	140.2	35.1	24.7	92.9	31.7	72.3	56.2	23.2	90.5	96.2	17.9
204875_s_at	637.1	541.4	247.1	304.1	344.7	172.5	58.4	125.2	349.7	246.6	170.2	186	304.3	233.6	162.5	590.9	535.5	488.9	149.2	912	177.4	409.6	223.4	369.2	196.9	282.5	1105.7	278.2	244.2	97.3	928.1	288.3	242.5	166.2	174.4	317.4	188.6
204880_at	49	10	44.9	61	105.7	20.5	55.3	71.3	80.5	58.5	114.9	198.2	156.7	112.9	81.6	10	10	128.5	76.9	54.1	127.7	94.8	80	54.6	73	95.2	100.6	133.4	10	127.6	33.7	68.3	66.9	39.1	89.2	60.9	23.9
204883_s_at	108	105.2	135.1	99.5	75.1	112.2	57.9	166.6	104	170.8	56.2	105.6	118.8	24	45.7	101.8	61.8	60.5	71	33.4	18.4	105.1	16.9	85.2	91.8	113.7	37.6	17.4	53.6	65.1	23.9	242.4	59.6	57.4	130.6	158.9	38.7
204885_s_at	61.8	141.6	37.6	346.6	275.1	139.4	142.9	10	224.5	10	34.4	358.1	10	98.6	66.4	10	13.3	20.5	10	202.2	16.6	130.4	158.3	21.6	343	10	10	53.1	31.9	260.6	34.3	10	10	147.5	37.3	30.6	200.5
204890_s_at	16	55.9	45.4	35.8	37.9	34.7	10	17.9	16.1	10.3	13.7	11.4	15.7	10	10	30.9	10	12.2	10	23.8	10	10	75.6	51.7	41.7	34.1	80.5	22.6	10.1	19.2	58.8	10	63.9	56.4	42.8	42.4	16.2
204894_s_at	26.7	28.1	49.2	23.1	34.9	20.7	131.9	32.7	23.4	10	39.7	41	44.6	13.6	82.1	39.6	35.4	67.2	91.4	23.2	36.9	10	33.7	51.4	47.8	54	15.9	48.1	10	18	28.9	26.6	36.6	55.2	54.8	53.9	33
204895_x_at	41.3	221.6	30.7	85.3	198.8	176.5	10	60.9	28.8	95.5	32.2	14.7	10	177	32.6	35.9	257.6	186.7	10	200.2	86.9	183	37.2	49.6	100.7	10	13.3	10	14.2	35.6	311.3	133.4	19.7	10	32.1	24.7	10
204898_at	12.7	18.1	10	10	30.7	27.1	50.9	20.9	17.5	10	47.6	60.8	52.4	19.6	10	19.9	42.4	33.2	32.9	10	12.4	19	74.3	12.6	10	10	12.5	48.9	33	31	44.2	12.9	19.1	14.2	23.5	10	30
204899_s_at	23.7	40.5	27	30.9	33	10	33.5	12.3	17.7	12.6	54.7	10.1	10	40.8	30.6	22.9	10	15.8	25.6	37.7	29.8	10	40.6	20.1	31.5	28.4	28.8	47.5	34.1	19.9	52.3	10.4	20.8	22.9	10	19.7	30.8
204916_at	86.6	18	79.4	99.3	96.9	81.7	17.1	62.3	41.8	57.5	24.2	76.1	44.4	59.9	82.7	33.1	64.2	65.7	80.1	72.1	40.9	41.9	25.1	51.8	157.3	25.9	31.2	42.2	14.8	193.1	10	37.4	63.1	80	65.9	25.1	33.1
204928_s_at	46.9	17.5	70.6	47.5	39.1	10	38.2	52	71.8	55	94.9	93.2	112.4	32.9	26.8	61	10	36.2	114.7	78.5	81.5	73	10	31.7	79	68	23	10	99.8	24.3	21.4	75.9	38.8	45.5	81.7	83.4	20.6
204929_s_at	42.2	33.4	42.6	33.8	58.7	28.3	49	20.1	10	10	24.2	19.1	10	17.2	27.9	10	10	42.8	23.7	10	16.9	10	13.6	10	24.5	33.8	37.1	29.5	35.1	23.8	19.3	11	57.6	23.1	29.5	34	19.2
204930_s_at	18.6	35.4	16.2	26.2	38.3	43.7	42.6	46.2	45.2	38.1	24.9	10	64.2	22.7	27.1	34.8	10	36.4	10	41.5	29.4	13.8	38.9	29.8	30.4	26.3	34.2	32.3	10	38.6	11.9	35.3	10.9	26.2	22.5	10	31.8
204933_s_at	20.8	32.5	153.3	96.7	10	10	10	25.6	10	20.8	10	10	10	12.5	107.3	10	10	10	10	22.9	10	10	10	10	10	10	10	10	203.2	13.8	10	10	10	10	10	10	10
204943_at	54.3	37.6	60.9	12.6	38.3	62.2	46.1	76.7	10	14.7	42.8	26.5	11.4	40.9	12.3	37	69.5	51.9	11.6	54.1	41.7	53	78.3	27	46.6	35.8	40.7	59.7	39.9	30.9	80.5	78.5	23.8	41	32.8	71.5	48.9
204951_at	41.2	10	20.5	29.7	46	10	32.1	10	10	11.2	10	35	58.7	37.8	44.2	52.4	14.8	13.4	12.6	56.5	42.3	46.2	24.7	58.9	11.7	28.9	89.3	64.8	22.4	21	80.4	61.4	49	10	10	46.2	11.5
